"OPEID","PELLID","NAME","State",,"Awards","Recipients"
"3368300","33683","MIDWEST TECHNICAL INSTITUTE","IL",2004,"714454.55000000005","287"
"165700","1657","MIDWESTERN UNIVERSITY","IL",2004,"162177","55"
"172400","1724","MILLIKIN UNIVERSITY","IL",2004,"1986008","821"
"172500","1725","MONMOUTH COLLEGE","IL",2004,"841021.31000000006","337"
"769200","7692","MORAINE VALLEY COMMUNITY COLLEGE-","IL",2004,"4795102","2359"
"888000","8880","MORRISON INSTITUTE OF TECHNOLOGY","IL",2004,"113305","47"
"172800","1728","MORTON COLLEGE","IL",2004,"2713462.9900000002","1317"
"2538100","17009","MR. JOHNS SCHOOL OF COSMETOLOGY","IL",2004,"85198","45"
"3643300","36433","MR. JOHN'S SCHOOL OF COSMETOLOGY & NAILS","IL",2004,"108362","45"
"2192400","15493","MR. JOHN'S SCHOOL OF COSMETOLOGY, ESTHETICS & NAILS","IL",2004,"187427","88"
"793700","7937","MS ROBERTS ACADEMY OF BEAUTY CULTURE","IL",2004,"94775","42"
"2286100","16088","NAES COLLEGE","IL",2004,"102102","40"
"173200","1732","NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE)","IL",2004,"29698","32"
"173300","1733","NATIONAL-LOUIS UNIVERSITY","IL",2004,"3055742.5","1405"
"2556600","17214","NILES SCHOOL OF COSMETOLOGY","IL",2004,"103660","42"
"173400","1734","NORTH CENTRAL COLLEGE","IL",2004,"950668.52000000002","424"
"173500","1735","NORTH PARK UNIVERSITY","IL",2004,"1413351.1200000001","574"
"169300","1693","NORTHEASTERN ILLINOIS UNIVERSITY","IL",2004,"8121196","3403"
"173700","1737","NORTHERN ILLINOIS UNIVERSITY","IL",2004,"13517728.630000001","5139"
"1236200","12362","NORTHWESTERN BUSINESS COLLEGE","IL",2004,"4131846","2327"
"173900","1739","NORTHWESTERN UNIVERSITY","IL",2004,"2237379.5","888"
"989600","9896","OAKTON COMMUNITY COLLEGE","IL",2004,"2233027","1191"
"2297500","16242","OEHRLEIN SCHOOL OF COSMETOLOGY","IL",2004,"110184","47"
"174100","1741","OLIVET NAZARENE UNIVERSITY","IL",2004,"1820116.98","706"
"1185800","11858","OLYMPIA COLLEGE","IL",2004,"3271271","1617"
"711800","7118","PARKLAND COLLEGE","IL",2004,"6073074","2647"
"1083600","10836","PIVOT POINT INTERNATIONAL COSMETOLOGY RESEARCH CENTER","IL",2004,"779231","315"
"164000","1640","PRAIRIE STATE COLLEGE","IL",2004,"3137539.4900000002","1636"
"2323300","16448","PROFESSIONALS CHOICE HAIR DESIGN ACADEMY","IL",2004,"18725","7"
"574200","14271","PROVENA UNITED SAMARITANS MEDICAL CENTER SCHOOL OF RAD. TECH. -","IL",2004,"29200","9"
"3128300","31283","PYRAMID CAREER INSTITUTE","IL",2004,"97255","82"
"174500","1745","QUINCY UNIVERSITY","IL",2004,"846547.55000000005","350"
"711900","7119","REND LAKE COLLEGE","IL",2004,"2763077.3999999999","1229"
"1087900","10879","RICHLAND COMMUNITY COLLEGE","IL",2004,"2003395.9199999999","1092"
"174600","1746","ROBERT MORRIS COLLEGE","IL",2004,"12167683","4641"
"174700","1747","ROCK VALLEY COLLEGE","IL",2004,"3337950.7799999998","1688"
"854500","8545","ROCKFORD BUSINESS COLLEGE","IL",2004,"1253143.97","538"
"174800","1748","ROCKFORD COLLEGE","IL",2004,"805755","318"
"174900","1749","ROOSEVELT UNIVERSITY","IL",2004,"3108251","1443"
"3082900","30829","ROSEL SCHOOL OF COSMETOLOGY","IL",2004,"538293","191"
"980000","9800","RUSH UNIVERSITY","IL",2004,"79529","30"
"998700","9987","SAINT ANTHONY COLLEGE OF NURSING","IL",2004,"90562.5","37"
"624000","6240","SAINT FRANCIS MEDICAL CENTER COLLEGE OF NURSING","IL",2004,"158246","73"
"176800","1768","SAINT XAVIER UNIVERSITY","IL",2004,"3058473.25","1222"
"175200","1752","SAUK VALLEY COMMUNITY COLLEGE","IL",2004,"1762566.8300000001","945"
"175300","1753","SCHOOL OF THE ART INSTITUTE OF CHICAGO","IL",2004,"1401087.26","535"
"769300","7693","SHAWNEE COMMUNITY COLLEGE","IL",2004,"2509453","1083"
"175600","1756","SHIMER COLLEGE","IL",2004,"145094","54"
"176900","1769","SOUTH SUBURBAN COLLEGE OF COOK COUNTY","IL",2004,"8641503","4436"
