"OPE_ID","INSTITUTION NAME","INSTITUTION CITY","INSTITUTION STATE","INSTITUTION TYPE AND CONTROL","TOTAL AWARDS","TOTAL RECIPIENTS"
"178800","BUTLER UNIVERSITY","INDIANAPOLIS","IN","Private 4yr","2736058","639"
"179200","DEPAUW UNIVERSITY","GREENCASTLE","IN","Private 4yr","1881761","429"
"179300","EARLHAM COLLEGE","RICHMOND","IN","Private 4yr","1306442","293"
"179500","UNIVERSITY OF EVANSVILLE","EVANSVILLE","IN","Private 4yr","2287972","521"
"179800","FRANKLIN COLLEGE OF INDIANA","FRANKLIN","IN","Private 4yr","1478125","346"
"179900","GOSHEN COLLEGE","GOSHEN","IN","Private 4yr","1255355","311"
"180000","GRACE COLLEGE & THEO SEMINARY","WINONA LAKE","IN","Private 4yr","2512562","569"
"180100","HANOVER COLLEGE","HANOVER","IN","Private 4yr","1485575","330"
"180300","HUNTINGTON UNIVERSITY","HUNTINGTON","IN","Private 4yr","1621942","395"
"180400","UNIVERSITY OF INDIANAPOLIS","INDIANAPOLIS","IN","Private 4yr","7362990","1656"
"180500","INDIANA INSTITUTE OF TECHNOLOGY","FORT WAYNE","IN","Private 4yr","17601952","4750"
"180700","INDIANA STATE UNIVERSITY","TERRE HAUTE","IN","Public 4yr","22844760","5142"
"180800","UNIVERSITY OF SOUTHERN INDIANA","EVANSVILLE","IN","Public 4yr","11540929","2681"
"180900","INDIANA UNIVERSITY-BLOOMINGTON","BLOOMINGTON","IN","Public 4yr","29013029","6274"
"181100","INDIANA UNIV-EAST","RICHMOND","IN","Public 4yr","5794988","1423"
"181300","INDIANA UNIVERSITY - PURDUE UNIVERSITY I","INDIANAPOLIS","IN","Public 4yr","36288698","8282"
"181400","INDIANA UNIV KOKOMO","KOKOMO","IN","Public 4yr","5259427","1258"
"181500","INDIANA UNIV-NORTHWEST","GARY","IN","Public 4yr","7109346","1672"
"181600","INDIANA UNIVERSITY - SOUTH BEND","SOUTH BEND","IN","Public 4yr","9584744","2296"
"181700","INDIANA UNIVERSITY-SOUTHEAST","NEW ALBANY","IN","Public 4yr","8434023","2048"
"182000","MANCHESTER UNIVERSITY","NORTH MANCHESTER","IN","Private 4yr","2226094","496"
"182100","MARIAN UNIVERSITY","INDIANAPOLIS","IN","Private 4yr","2631364","607"
"182200","INDIANA WESLEYAN UNIVERSITY","MARION","IN","Private 4yr","20066537","5226"
"182400","OAKLAND CITY UNIVERSITY","OAKLAND CITY","IN","Private 4yr","1011968","237"
"182500","PURDUE UNIVERSITY","WEST LAFAYETTE","IN","Public 4yr","25490815","5418"
"182700","PURDUE UNIV NW HAMMOND/WESTVILLE","HAMMOND","IN","Public 4yr","14496687","3454"
"182800","INDIANA UNIV-PURDUE UNIV FORT WAYNE","FORT WAYNE","IN","Public 4yr","13095581","3220"
"183000","ROSE HULMAN INSTITUTE OF TECHNOLOGY","TERRE HAUTE","IN","Private 4yr","1175473","278"
"183200","UNIVERSITY OF SAINT FRANCIS","FORT WAYNE","IN","Private 4yr","3260595","820"
"183400","CALUMET COLLEGE OF SAINT JOSEPH","WHITING","IN","Private 4yr","1290019","293"
"183500","SAINT MARY-OF-THE-WOODS COLLEGE","SAINT MARY-OF-THE-WOODS","IN","Private 4yr","1509603","367"
"183600","ST MARY'S COLLEGE","NOTRE DAME","IN","Private 4yr","1569497","360"
"183800","TAYLOR UNIVERSITY","UPLAND","IN","Private 4yr","1665590","384"
"183900","TRINE UNIVERSITY","ANGOLA","IN","Private 4yr","3384675","832"
"184000","UNIVERSITY OF NOTRE DAME","NOTRE DAME","IN","Private 4yr","4124951","918"
"184200","VALPARAISO UNIVERSITY","VALPARAISO","IN","Private 4yr","4243318","939"
"184300","VINCENNES UNIVERSITY","VINCENNES","IN","Public 4yr","12546847","3139"
"184400","WABASH COLLEGE","CRAWFORDSVILLE","IN","Private 4yr","983079","240"
"184600","BRIAR CLIFF UNIVERSITY","SIOUX CITY","IA","Private 4yr","1986340","473"
"184700","BUENA VISTA UNIVERSITY","STORM LAKE","IA","Private 4yr","4538913","1060"
"184800","SOUTHEASTERN COMMUNITY COLLEGE","WEST BURLINGTON","IA","Public 2yr","3644658","984"
"185000","CENTRAL COLLEGE","PELLA","IA","Private 4yr","1497411","354"
"185200","CLARKE UNIVERSITY","DUBUQUE","IA","Private 4yr","1202694","282"
"185400","COE COLLEGE","CEDAR RAPIDS","IA","Private 4yr","1944389","453"
"185600","CORNELL COLLEGE","MOUNT VERNON","IA","Private 4yr","1147585","265"
"185700","SOUTHWESTERN COMMUNITY COLLEGE","CRESTON","IA","Public 2yr","2428621","596"
"185800","DIVINE WORD COLLEGE","EPWORTH","IA","Private 4yr","87510","16"
"185900","DORDT COLLEGE","SIOUX CENTER","IA","Private 4yr","1380290","350"
"186000","DRAKE UNIVERSITY","DES MOINES","IA","Private 4yr","2482700","584"
"186200","ELLSWORTH COMMUNITY COLLEGE","IOWA FALLS","IA","Public 2yr","1596550","368"
"186400","IOWA LAKES COMMUNITY COLLEGE","ESTHERVILLE","IA","Public 2yr","2527897","591"
"186500","IOWA CENTRAL COMMUNITY COLLEGE","FORT DODGE","IA","Public 2yr","9470871","2506"
"186600","GRACELAND UNIVERSITY","LAMONI","IA","Private 4yr","2647188","588"
"186700","GRAND VIEW UNIVERSITY","DES MOINES","IA","Private 4yr","3359294","756"
"186800","GRINNELL COLLEGE","GRINNELL","IA","Private 4yr","1456142","325"
"186900","IOWA STATE UNIV SCIENCE & TECHNOLOG","AMES","IA","Public 4yr","28839132","6487"
"187100","IOWA WESLEYAN COLLEGE","MOUNT PLEASANT","IA","Private 4yr","1420598","304"
