"PELLID","Institution","State","Recipients","Awards"
"25869","Star Technical Institute","NJ","517","1057133.8100000001"
"31873","Stenotech Career Institute","NJ","26","64549.300000000003"
"2639","Stevens Institute Of Technology","NJ","388","970769"
"7362","Stuart School Of Business Administration (The)","NJ","65","125694.48"
"25688","Sussex County Community College","NJ","475","874787"
"11989","Talmudical Academy","NJ","17","53625"
"5452","Teterboro School Of Aeronautics","NJ","89","247950"
"11648","Thomas A Edison State College","NJ","449","743462.63"
"2643","Union County College","NJ","2957","6525185"
"6139","Union County Vocational Technical Schools","NJ","22","37550"
"13645","University Of Medicine And Dentistry Of New Jersey","NJ","51","91416"
"16857","Warren County Community College","NJ","163","309796.28000000003"
"2625","William Paterson University Of New Jersey","NJ","1927","4710227"
"33013","Worldwide Educational Services","NJ","195","225707"
"31261","Worldwide Educational Services","NJ","165","232209"
"16865","Albuquerque Barber College","NM","20","52150"
"4742","Albuquerque Technical Vocational Institute","NM","5936","9324115.2400000002"
"4743","Clovis Community College","NM","1446","2881142.1699999999"
"2649","College Of Santa Fe","NM","432","1032099.89"
"13935","College Of The Southwest","NM","375","856204.5"
"16119","Crownpoint Institute Of Technology","NM","282","647833.5"
"10632","Dewolff College Of Hairstyling And Cosmetology","NM","130","317645.64000000001"
"2651","Eastern New Mexico University","NM","3185","7725717.9199999999"
"30147","Eddy County Beauty College","NM","40","71505.979999999996"
"15410","El Paso-Business Skills Institute-","NM","287","560756.37"
"14152","Institute Of American Indian And Alaska National Culture And Arts Dev","NM","118","287221"
"30293","International Institute Of Chinese Medicine","NM","3","4825"
"9962","Luna Community College","NM","410","925071.53000000003"
"32063","Mesalands Community College","NM","201","474968.29999999999"
"30993","Metropolitan College Of Court Reporting -","NM","254","583990.26000000001"
"2653","New Mexico Highlands University","NM","1111","2983845"
"2654","New Mexico Institute Of Mining & Technology","NM","314","818637.71999999997"
"2655","New Mexico Junior College","NM","1129","2464738"
"2656","New Mexico Military Institute","NM","110","272786.03000000003"
"2657","New Mexico State University","NM","7609","18674503.329999998"
"5286","Northern New Mexico Community College","NM","723","1575081"
"13005","Olympian University Of Cosmetology","NM","91","224228"
"32973","Roswell Beauty College Of Cosmetology Arts & Sciences","NM","42","85530"
"2093","Saint John'S College","NM","129","306031.29999999999"
"2660","San Juan College","NM","1474","3305407"
"16065","Santa Fe Community College","NM","802","1713581"
"31282","Southwest Health Career Institute","NM","229","464300.53000000003"
"11185","Southwestern Indian Polytechnic Institute","NM","450","695294"
"34303","Universal Therapeutic Massage Institute","NM","147","199843.82000000001"
"2663","University Of New Mexico","NM","7937","19611032"
"2664","Western New Mexico State University","NM","1160","2928929"
"13232","Academy Of Hair Design","NV","89","167700.70999999999"
"33603","Academy Of Medical And Business Careers","NV","339","916593.98999999999"
"31100","Academy Of Medical And Business Careers","NV","818","1984550.1000000001"
"30846","Art Institute Of Las Vegas (The)","NV","129","273046.14000000001"
"26215","Career College Of Northern Nevada","NV","333","592035"
"30882","Carson City Beauty Academy","NV","79","160574.62"
"10362","Community College Of Southern Nevada","NV","5478","10842625.16"
"34745","Dahan Institute Of Massage Studies","NV","439","1071537"
"6977","Great Basin College","NV","415","785212.10999999999"
"30432","Heritage College","NV","600","1286383.23"
"15804","Las Vegas College","NV","839","1404902"
"7367","Marinello Schools Of Beauty","NV","152","293756"
"9948","Morrison University","NV","64","137165.22"
"9192","Sierra Nevada College","NV","193","405073"
"14291","Southern Nevada University Of Cosmetology","NV","99","247456.54000000001"
"10363","Truckee Meadows Community College","NV","1431","2454672.8199999998"
"2569","University Of Nevada - Las Vegas","NV","3439","8026876.9199999999"
"2568","University Of Nevada - Reno","NV","1520","3364016.4399999999"
"13896","Western Nevada Community College","NV","736","1243746.9299999999"
"16277","A Business Career Institute","NY","98","101355"
"2666","Adelphi University","NY","884","2151161"
"31037","Adirondack Beauty School","NY","20","47000"
"15038","Ailey School (The)","NY","26","55878.110000000001"
