"PELLID","OPEID","Name","City","State","Type & Control","Recips","Awards"
"3661","366100","UNIVERSITY OF TEXAS-EL PASO","EL PASO","TX","Public 4 Year","8928","26518603"
"9930","993000","UNIVERSITY OF TEXAS-PERMIAN BASIN","ODESSA","TX","Public 4 Year","1084","3037947"
"10115","1011500","UNIVERSITY OF TEXAS-SAN ANTONIO","SAN ANTONIO","TX","Public 4 Year","9314","26252808"
"3578","357800","UNIVERSITY OF THE INCARNATE WORD","SAN ANTONIO","TX","Private 4 Year","1794","4832495"
"3659","365900","UT HEALTH CENTER-SAN ANTONIO","SAN ANTONIO","TX","Public 4 Year","222","578143"
"36124","3612400","VALLEY GRANDE INSTITUTE FOR ACADEMI","WESLACO","TX","Private 2 Year","373","1060469"
"12931","1293100","VELMA B'S BEAUTY ACADEMY","DALLAS","TX","Proprietary","37","106561"
"10060","1006000","VERNON COLLEGE","VERNON","TX","Public 2 Year","986","2390344"
"12020","1202000","VICTORIA BEAUTY COLLEGE","VICTORIA","TX","Proprietary","88","171319"
"3662","366200","VICTORIA COLLEGE (THE)","VICTORIA","TX","Public 2 Year","1183","2823310"
"10130","1013000","WADE COLLEGE","DALLAS","TX","Proprietary","204","576040"
"3663","366300","WAYLAND BAPTIST UNIVERSITY","PLAINVIEW","TX","Private 4 Year","1112","2498178"
"3664","366400","WEATHERFORD COLLEGE","WEATHERFORD","TX","Public 2 Year","1109","2764904"
"3665","366500","WEST TEXAS A&M UNIVERSITY","CANYON","TX","Public 4 Year","2062","5394112"
"14535","2098300","WESTERN TECHNICAL COLLEGE","EL PASO","TX","Proprietary","1247","3736876"
"9549","954900","WESTERN TEXAS COLLEGE","SNYDER","TX","Public 2 Year","308","783771"
"3668","366800","WHARTON COUNTY JR COLLEGE","WHARTON","TX","Public 2 Year","1213","2917954"
"3669","366900","WILEY COLLEGE","MARSHALL","TX","Private 4 Year","623","2096350"
"16027","2270800","AMERITECH COLLEGE","PROVO","UT","Proprietary","265","737280"
"26122","2612200","BON LOSEE ACADEMY OF HAIR ARTISTRY","PROVO","UT","Proprietary","57","118888"
"14257","2115400","BRIDGERLAND APPLIED TECHNOLOGY COLLEGE","LOGAN","UT","Public 2 Year","164","315445"
"3670","367000","BRIGHAM YOUNG UNIVERSITY","PROVO","UT","Private 4 Year","9324","26664354"
"39213","3921300","CAMEO COLLEGE OF ESSENTIAL BEAUTY","SALT LAKE CITY","UT","Proprietary","82","194950"
"34633","3463300","CAREERS UNLIMITED","OREM","UT","Proprietary","30","80250"
"17296","2572800","CERTIFIED CAREERS INSTITUTE","SALT LAKE CITY","UT","Proprietary","148","425505"
"3676","367600","COLLEGE OF EASTERN UTAH","PRICE","UT","Public 2 Year","532","1342751"
"40723","4072300","DALLAS ROBERTS ACADEMY OF HAIR DESIGN &","PROVO","UT","Proprietary","19","59854"
"15195","2156600","DAVIS APPLIED TECHNOLOGY COLLEGE","KAYSVILLE","UT","Public 2 Year","232","317160"
"41217","4121700","DIXIE APPLIED TECHNOLOGY COLLEGE","ST. GEORGE","UT","Public 2 Year","1","1130"
"3671","367100","DIXIE STATE COLLEGE OF UTAH","SAINT GEORGE","UT","Public 4 Year","1766","4229305"
"15359","2178500","EAGLE GATE COLLEGE","MURRAY","UT","Proprietary","800","1915948"
"31082","3108200","ECHELON EDGE ACADEMY OF HAIR SKIN & NAIL","SANDY","UT","Proprietary","48","129769"
"17310","2573100","EVANS HAIRSTYLING COLLEGE","CEDAR CITY","UT","Proprietary","27","73912"
"17295","2572700","EVANS HAIRSTYLING COLLEGE","SAINT GEORGE","UT","Proprietary","18","46562"
"16249","2298500","EVEREST COLLEGE","SALT LAKE CITY","UT","Proprietary","1126","2401037"
"16851","2504000","FRAN BROWN COLLEGE OF BEAUTY","LAYTON","UT","Proprietary","66","159172"
"17186","2556800","HAIRITAGE COLLEGE OF BEAUTY","MURRAY","UT","Proprietary","97","252241"
"31104","3110400","HAIRITAGE HAIR ACADEMY","SAINT GEORGE","UT","Proprietary","13","34729"
"36173","3617300","HEALING MOUNTAIN MASSAGE SCHOOL","SALT LAKE CITY","UT","Proprietary","27","77500"
"41181","4118100","IMAGEWORKS ACADEMY OF HAIR DESIGN","SPANISH FORK","UT","Proprietary","29","65013"
"16774","2361000","ITT TECHNICAL INSTITUTE","MURRAY","UT","Proprietary","1200","2684158"
"3672","367200","LDS BUSINESS COLLEGE","SALT LAKE CITY","UT","Private 2 Year","346","897917"
"39093","3909300","MAXIMUM STYLE TEC SCHOOL OF COSMETOLOGY","LOGAN","UT","Proprietary","30","84125"
"34133","3413300","MOUNTAINLAND APPLIED TECHNOLOGY COLLEGE","OREM","UT","Public 2 Year","48","103456"
"30821","3082100","MYOTHERAPY COLLEGE OF UTAH","SALT LAKE CITY","UT","Proprietary","44","89597"
"9948","1009800","NEUMONT UNIVERSITY","S JORDAN","UT","Proprietary","204","526678"
"38383","3838300","OGDEN INSTITUTE OF MASSAGE THERAPY","OGDEN","UT","Proprietary","27","55922"
"15526","2346500","OGDEN-WEBER APPLIED TECHNOLOGY COLG","OGDEN","UT","Public 2 Year","315","406028"
"17187","2557700","PREMIER HAIR ACADEMY","WEST VALLEY CITY","UT","Proprietary","24","77442"
"16775","2360800","PROVO COLLEGE","PROVO","UT","Proprietary","357","845613"
"39023","3902300","RENAISSANCE SCHOOL OF THERAPEUTIC MASSAG","BOUNTIFUL","UT","Proprietary","9","22720"
"5220","522000","SALT LAKE COMMUNITY COLLEGE","SALT LAKE CITY","UT","Public 2 Year","5502","11289770"
"9433","943300","SHERMAN KENDALL'S ACADEMY OF BEAUTY","SALT LAKE CITY","UT","Proprietary","39","103259"
"17313","2078800","SHERMAN KENDALL'S ACADEMY OF BEAUTY","MIDVALE","UT","Proprietary","30","83231"
"38295","3829500","SKINWORKS SCHOOL OF ADVANCED SKINCARE","SALT LAKE CITY","UT","Proprietary","29","78867"
"3679","367900","SNOW COLLEGE","EPHRAIM","UT","Public 2 Year","805","2060366"
"3678","367800","SOUTHERN UTAH UNIVERSITY","CEDAR CITY","UT","Public 4 Year","2103","5850669"
"40543","4054300","SOUTHWEST APPLIED TECHNOLOGY COLLEGE","CEDAR CITY","UT","Public 2 Year","18","24160"
"16866","2516100","STACEY'S HANDS OF CHAMPIONS BTY CLG","OGDEN","UT","Proprietary","82","262643"
"3674","367400","STEVENS HENAGER COLLEGE","OGDEN","UT","Proprietary","1978","4946101"
"13721","1116500","UINTAH BASIN APPLIED TECHNOLOGY CLG","ROOSEVELT","UT","Public 2 Year","20","55172"
"3675","367500","UNIVERSITY OF UTAH","SALT LAKE CITY","UT","Public 4 Year","4911","12137988"
