"PELLID","Institution","City","State","Recipients","Awards"
"4033","Asheville Buncombe Technical Community College","Asheville","NC","784","1270612.3200000001"
"2909","BARBER-SCOTIA COLLEGE","Concord","NC","342","908891"
"2908","Barton College","Wilson","NC","344","643285"
"8558","Beaufort County Community College","Washington","NC","508","1025293.4300000001"
"2910","Belmont Abbey College","Belmont","NC","213","419552"
"2911","Bennett College","Greensboro","NC","335","759232"
"7987","Bladen Community College","Dublin","NC","517","964209.06999999995"
"9684","Blue Ridge Community College","Flat Rock","NC","344","423751.76000000001"
"2912","Brevard College","Brevard","NC","172","326395"
"15285","Brunswick Community College","Supply","NC","358","629862"
"15358","Cabarrus College Of Health Sciences","Concord","NC","50","81810"
"4835","Caldwell Community College & Technical Institute","Hudson","NC","698","1216245.8600000001"
"2913","Campbell University","Buies Creek","NC","905","1585589.27"
"5320","Cape Fear Community College","Wilmington","NC","1326","2235631.0499999998"
"8081","Carteret Community College","Morehead City","NC","558","982363.64000000001"
"2914","Catawba College","Salisbury","NC","327","675895"
"5318","Catawba Valley Community College","Hickory","NC","492","799382"
"5449","Central Carolina Community College","Sanford","NC","984","1727101.9399999999"
"2915","Central Piedmont Community College","Charlotte","NC","1143","1707183.0600000001"
"31042","Charlotte Mecklenburg Hospital Authority","Charlotte, NC","NC","56","91708"
"2916","Chowan College","Murfreesboro","NC","320","664398.54000000004"
"8082","Cleveland Community College","Shelby","NC","627","1114979.55"
"5316","Coastal Carolina Community College","Jacksonville","NC","935","1466503.78"
"2917","College of the Albemarle","Elizabeth City","NC","645","1144523.02"
"8086","CRAVEN COMMUNITY COLLEGE","New Bern","NC","789","1449776.76"
"2918","Davidson College","Davidson","NC","99","184454"
"2919","Davidson County Community College","Lexington","NC","723","1212714.4199999999"
"2920","Duke University","Durham","NC","639","1254023"
"5448","Durham Technical Community College","Durham","NC","834","1283293.9099999999"
"2923","East Carolina University","Greenville","NC","3591","7287820.3499999996"
"8855","Edgecombe Community College","Tarboro","NC","1017","1659972.24"
"2926","Elizabeth City State University","Elizabeth City","NC","1199","2739760.96"
"2927","Elon College","Elon College","NC","357","660638"
"2928","Fayetteville State University","Fayetteville","NC","1903","4127428.9399999999"
"7640","Fayetteville Technical Community College","Fayetteville","NC","2282","3916385"
"5317","Forsyth Technical Community College","Winston-Salem","NC","1008","1721794"
"2929","Gardner-Webb University","Boiling Springs","NC","749","1322105"
"2973","Gaston College","Dallas","NC","766","1326874.96"
"2930","Greensboro College","Greensboro","NC","242","454080"
"2931","Guilford College","Greensboro","NC","248","493293.09999999998"
"4838","Guilford Technical Community College","Jamestown","NC","1200","2064550.1100000001"
"7986","Halifax Community College","Weldon","NC","929","1645022.74"
"8083","Haywood Community College","Clyde","NC","383","747406.10999999999"
"30893","Heritage Bible College","Dunn","NC","57","100116.5"
"2933","High Point University","High Point","NC","696","1318403.5"
