"OPEID","Name","State","Type & Control","Recips","Awards"
"25385","ARTHUR'S BEAUTY COLLEGE","AR","Proprietary 2 Year","136","421090"
"31272","ASKINS VO TECH","AR","Proprietary 2 Year","48","126993"
"31052","BAPTIST HEALTH SCHOOLS LITTLE ROCK","AR","Private 2 Year","501","1612521"
"22604","BEE JAY'S HAIRSTYLING ACADEMY","AR","Proprietary 2 Year","61","207644"
"20522","BLACK RIVER TECHNICAL COLLEGE","AR","Public 2 Year","1795","6511413"
"23417","CAREER ACADEMY OF HAIR DESIGN","AR","Proprietary 2 Year","221","881111"
"1093","CENTRAL BAPTIST COLLEGE","AR","Private 4 Year","277","1015433"
"22209","COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public 2 Year","837","2986063"
"39123","CROSSETT SCHOOL OF COSMETOLOGY","AR","Proprietary 2 Year","34","117381"
"1095","CROWLEY'S RIDGE COLLEGE","AR","Private 4 Year","97","427113"
"7044","CROWLEY'S RIDGE TECHNICAL INSTITUTE","AR","Public 2 Year","242","944306"
"31168","DELUXE BEAUTY SCHOOL","AR","Proprietary 2 Year","3","8025"
"12260","EAST ARKANSAS COMMUNITY COLLEGE","AR","Public 2 Year","971","3452680"
"22724","EASTERN COLLEGE OF HEALTH VOCATIONS","AR","Proprietary 2 Year","812","2214356"
"38553","ECCLESIA COLLEGE","AR","Private 4 Year","51","191894"
"1097","HARDING UNIVERSITY","AR","Private 4 Year","1160","4622363"
"1098","HENDERSON STATE UNIVERSITY","AR","Public 4 Year","1616","6315960"
"1099","HENDRIX COLLEGE","AR","Private 4 Year","279","1047123"
"30071","HOT SPRINGS BEAUTY COLLEGE","AR","Proprietary 2 Year","83","386292"
"31249","IMAGINE -  PAUL MITCHELL PARTNER SCHOOL","AR","Proprietary 2 Year","181","621304"
"1100","JOHN BROWN UNIVERSITY","AR","Private 4 Year","602","2132681"
"23308","JRMC SCHOOL OF NURSING","AR","Private 2 Year","56","148179"
"25258","LEES SCHOOL OF COSMETOLOGY","AR","Proprietary 2 Year","25","117363"
"35194","LYNNDALE FUNDAMENTALS OF BEAUTY SCHOOL","AR","Proprietary 2 Year","20","70389"
"1088","LYON COLLEGE","AR","Private 4 Year","269","1056360"
"32543","MARGARET'S HAIR ACADEMY","AR","Proprietary 2 Year","70","231361"
"22874","MARSHA KAY BEAUTY COLLEGE","AR","Proprietary 2 Year","31","143828"
"23482","MID-SOUTH COMMUNITY COLLEGE","AR","Public 2 Year","1642","5222372"
"12105","NATIONAL PARK COMMUNITY COLLEGE","AR","Public 2 Year","2408","8588582"
"22842","NEW TYLER BARBER COLLEGE","AR","Proprietary 2 Year","97","433695"
"12261","NORTH ARKANSAS COLLEGE","AR","Public 2 Year","1719","6104711"
"30633","NORTHWEST ARKANSAS COMMUNITY COLLEGE","AR","Public 2 Year","3200","10385549"
"20737","NORTHWEST TECHNICAL INSTITUTE","AR","Public 2 Year","227","619543"
"1102","OUACHITA BAPTIST UNIVERSITY","AR","Private 4 Year","364","1468487"
"9976","OUACHITA TECHNICAL COLLEGE","AR","Public 2 Year","637","2260360"
"20870","OZARKA COLLEGE","AR","Public 2 Year","1145","4195937"
"7921","PAUL MITCHELL THE SCHOOL ARKANSAS","AR","Proprietary 2 Year","65","271160"
"1103","PHILANDER SMITH COLLEGE","AR","Private 4 Year","532","2243699"
"1104","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public 2 Year","1188","4233674"
"22024","PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","Proprietary 2 Year","56","212739"
"20753","PULASKI TECHNICAL COLLEGE","AR","Public 2 Year","7513","26193636"
"21111","RICH MOUNTAIN COMMUNITY COLLEGE","AR","Public 2 Year","517","1824274"
"25696","SEARCY BEAUTY COLLEGE","AR","Proprietary 2 Year","59","201792"
"20746","SOUTH ARKANSAS COMMUNITY COLLEGE","AR","Public 2 Year","1161","4063441"
"5707","SOUTHEAST ARKANSAS COLLEGE","AR","Public 2 Year","1330","4431544"
"1107","SOUTHERN ARKANSAS UNIVERSITY","AR","Public 4 Year","1606","6598702"
"7738","SOUTHERN ARKANSAS UNIVERSITY TECH","AR","Public 2 Year","709","2568946"
"1108","UNIVERSITY OF ARKANSAS","AR","Public 4 Year","3711","14355762"
"1110","UNIVERSITY OF ARKANSAS AT FORT SMITH","AR","Public 4 Year","3920","14283913"
"1101","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","AR","Public 4 Year","4220","15947568"
"1085","UNIVERSITY OF ARKANSAS AT MONTICELLO","AR","Public 4 Year","2327","8873057"
"1086","UNIVERSITY OF ARKANSAS AT PINE BLUFF","AR","Public 4 Year","2739","11889521"
"20735","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","AR","Public 2 Year","1374","4941724"
"5732","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE","AR","Public 2 Year","1125","3754398"
"5245","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON","AR","Public 2 Year","1606","5457071"
"1109","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","AR","Public 4 Year","344","1449397"
"1092","UNIVERSITY OF CENTRAL ARKANSAS","AR","Public 4 Year","3799","15343011"
"1094","UNIVERSITY OF THE OZARKS","AR","Private 4 Year","209","839038"
"32143","VELVATEX COLLEGE OF BEAUTY CULTURE","AR","Proprietary 2 Year","21","79203"
"1106","WILLIAMS BAPTIST COLLEGE","AR","Private 4 Year","296","1147442"
"10010","AMERICAN SAMOA COMMUNITY COLLEGE","AS","Public 2 Year","1697","6119146"
"21999","AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","Private 4 Year","81","331488"
"23178","AMERICAN INSTITUTE OF TECHNOLOGY","AZ","Proprietary 2 Year","1022","3113060"
"22631","ANTHEM COLLEGE","AZ","Proprietary 4 Year","3029","9920143"
"21006","APOLLO COLLEGE","AZ","Proprietary 4 Year","5046","19100644"
"8864","ARIZONA ACADEMY OF BEAUTY","AZ","Proprietary 2 Year","68","233951"
"11802","ARIZONA ACADEMY OF BEAUTY - NORTH","AZ","Proprietary 2 Year","81","260857"
"10847","ARIZONA AUTOMOTIVE INSTITUTE","AZ","Proprietary 2 Year","1626","7063194"
"31150","ARIZONA COLLEGE OF ALLIED HEALTH","AZ","Proprietary 2 Year","851","2887209"
"41209","ARIZONA CULINARY INSTITUTE","AZ","Proprietary 2 Year","75","238214"
"36955","ARIZONA SCHOOL OF ACUPUNCTURE AND ORIENTAL MEDICINE","AZ","Proprietary 4 Year","2","13933"
"1081","ARIZONA STATE UNIVERSITY","AZ","Public 4 Year","18345","72557095"
"1071","ARIZONA WESTERN COLLEGE","AZ","Public 2 Year","5253","17164064"
"24915","ART CENTER DESIGN COLLEGE (THE)","AZ","Proprietary 4 Year","362","1774755"
"40513","ART INSTITUTE OF PHOENIX (THE)","AZ","Proprietary 4 Year","1213","4599472"
"37405","ART INSTITUTE OF TUCSON (THE)","AZ","Proprietary 4 Year","323","1193499"
"10858","AVALON SCHOOL OF COSMETOLOGY","AZ","Proprietary 2 Year","424","1659525"
"22188","BROOKLINE COLLEGE","AZ","Proprietary 4 Year","4433","15542841"
"9451","BROWN MACKIE COLLEGE","AZ","Proprietary 4 Year","3607","12376164"
"30764","BRYMAN SCHOOL OF ARIZONA (THE)","AZ","Proprietary 2 Year","4062","13235716"
"30978","CARSTEN AVEDA INSTITUTE","AZ","Proprietary 2 Year","129","510342"
"7283","CENTRAL ARIZONA COLLEGE","AZ","Public 2 Year","3247","10098114"
"30722","CHANDLER - GILBERT COMMUNITY COLLEGE","AZ","Public 2 Year","2419","7235262"
"22805","CHARLES OF ITALY BEAUTY COLLEGE","AZ","Proprietary 2 Year","97","392002"
"1072","COCHISE COLLEGE","AZ","Public 2 Year","2200","7118986"
