"OPEID","Name","State","Type & Control","Recips","Awards"
"2975","UNIVERSITY OF NORTH CAROLINA - CHARLOTTE","NC","Public 4 Year","6915","26350414"
"2976","UNIVERSITY OF NORTH CAROLINA - GREENSBORO","NC","Public 4 Year","5762","24783142"
"2907","UNIVERSITY OF NORTH CAROLINA AT ASHEVILLE","NC","Public 4 Year","1040","4080048"
"2954","UNIVERSITY OF NORTH CAROLINA AT PEMBROKE","NC","Public 4 Year","3321","14312931"
"2984","UNIVERSITY OF NORTH CAROLINA AT WILMINGTON (THE)","NC","Public 4 Year","2758","11173714"
"3981","UNIVERSITY OF NORTH CAROLINA SCHOOL OF THE ARTS","NC","Public 4 Year","186","746928"
"9903","VANCE - GRANVILLE COMMUNITY COLLEGE","NC","Public 2 Year","2419","7558630"
"2978","WAKE FOREST UNIVERSITY","NC","Private 4 Year","470","1926683"
"4844","WAKE TECHNICAL COMMUNITY COLLEGE","NC","Public 2 Year","5069","14933403"
"2979","WARREN WILSON COLLEGE","NC","Private 4 Year","274","996935"
"2980","WAYNE COMMUNITY COLLEGE","NC","Public 2 Year","2055","6811594"
"2981","WESTERN CAROLINA UNIVERSITY","NC","Public 4 Year","2443","9478212"
"2982","WESTERN PIEDMONT COMMUNITY COLLEGE","NC","Public 2 Year","2355","9188126"
"2983","WILKES COMMUNITY COLLEGE","NC","Public 2 Year","1735","6088153"
"4845","WILSON COMMUNITY COLLEGE","NC","Public 2 Year","1428","5548190"
"2985","WINGATE UNIVERSITY","NC","Private 4 Year","476","1814992"
"30095","WINSTON-SALEM BARBER SCHOOL","NC","Proprietary 2 Year","68","269548"
"2986","WINSTON-SALEM STATE UNIVERSITY","NC","Public 4 Year","3538","15554201"
"2988","BISMARCK STATE COLLEGE","ND","Public 4 Year","1234","4434519"
"22365","CANKDESKA CIKANA (LITTLE HOOP) COMMUNITY COLLEGE","ND","Public 2 Year","238","868547"
"2995","DAKOTA COLLEGE AT BOTTINEAU","ND","Public 2 Year","299","1082133"
"2989","DICKINSON STATE UNIVERSITY","ND","Public 4 Year","683","2541691"
"25537","FORT BERTHOLD COMMUNITY COLLEGE","ND","Public 2 Year","90","323941"
"41394","HAIR ACADEMY (THE)","ND","Proprietary 2 Year","50","182610"
"22982","HEADQUARTERS ACADEMY OF HAIR DESIGN","ND","Proprietary 2 Year","68","255360"
"2990","JAMESTOWN COLLEGE","ND","Private 4 Year","275","1049264"
"7756","JOSEFS SCHOOL OF HAIR DESIGN","ND","Proprietary 2 Year","71","312840"
"10406","JOSEF'S SCHOOL OF HAIR DESIGN","ND","Proprietary 2 Year","63","195225"
"12295","JZ TREND ACADEMY PAUL MITCHELL PARTNER SCHOOL","ND","Proprietary 2 Year","32","142645"
"2991","LAKE REGION STATE COLLEGE","ND","Public 2 Year","388","1370056"
"2993","MAYVILLE STATE UNIVERSITY","ND","Public 4 Year","311","1189814"
"9354","MEDCENTER ONE COLLEGE OF NURSING","ND","Private 4 Year","34","136119"
"2994","MINOT STATE UNIVERSITY","ND","Public 4 Year","1027","3870549"
"30872","MOLER BARBER COLLEGE OF HAIR STYLING","ND","Proprietary 2 Year","9","38564"
"2996","NORTH DAKOTA STATE COLLEGE OF SCIENCE","ND","Public 2 Year","822","2999270"
"2997","NORTH DAKOTA STATE UNIVERSITY - MAIN CAMPUS - FARGO","ND","Public 4 Year","2678","10128413"
"40313","SALON PROFESSIONAL ACADEMY (THE)","ND","Proprietary 2 Year","47","238800"
"21882","SITTING BULL COLLEGE","ND","Public 4 Year","263","1003284"
"12059","TRINITY BIBLE COLLEGE","ND","Private 4 Year","183","694519"
"23011","TURTLE MOUNTAIN COMMUNITY COLLEGE","ND","Private 4 Year","608","2394594"
"22429","UNITED TRIBES TECHNICAL COLLEGE","ND","Private 2 Year","538","2034237"
"2992","UNIVERSITY OF MARY","ND","Private 4 Year","626","2301926"
"3005","UNIVERSITY OF NORTH DAKOTA","ND","Public 4 Year","2278","8574251"
"3008","VALLEY CITY STATE UNIVERSITY","ND","Public 4 Year","283","1050663"
"3007","WILLISTON STATE COLLEGE","ND","Public 2 Year","310","995525"
"8492","ALEGENT HEALTH SCHOOLS","NE","Private 2 Year","8","34762"
"9743","BELLEVUE UNIVERSITY","NE","Private 4 Year","1977","5548174"
"6399","BRYAN LGH COLLEGE OF HEALTH SCIENCES","NE","Private 4 Year","134","424636"
"9617","CAPITOL SCHOOLS OF HAIRSTYLING AND ESTHETICS","NE","Proprietary 2 Year","84","252336"
"20995","CENTRAL COMMUNITY COLLEGE","NE","Public 2 Year","2446","7419648"
"2539","CHADRON STATE COLLEGE","NE","Public 4 Year","877","3272513"
"9862","CLARKSON COLLEGE","NE","Private 4 Year","237","877167"
"20797","COLLEGE OF HAIR DESIGN","NE","Proprietary 2 Year","222","916885"
"2540","COLLEGE OF SAINT MARY","NE","Private 4 Year","451","1709375"
"2541","CONCORDIA UNIVERSITY","NE","Private 4 Year","367","1308217"
"31643","CREATIVE CENTER (THE)","NE","Proprietary 4 Year","58","235387"
"2542","CREIGHTON UNIVERSITY","NE","Private 4 Year","757","2966961"
"2543","DANA COLLEGE","NE","Private 4 Year","222","804127"
"2544","DOANE COLLEGE","NE","Private 4 Year","603","2163795"
"2547","GRACE UNIVERSITY","NE","Private 4 Year","197","683117"
"2548","HASTINGS COLLEGE","NE","Private 4 Year","361","1318593"
"11519","JOSEPH'S COLLEGE OF BEAUTY","NE","Proprietary 2 Year","370","1824556"
"9523","LA'JAMES INTERNATIONAL COLLEGE","NE","Proprietary 2 Year","45","195968"
"33233","LITTLE PRIEST TRIBAL COLLEGE","NE","Private 2 Year","105","397018"
"12586","METROPOLITAN COMMUNITY COLLEGE","NE","Public 2 Year","7478","21531722"
"2553","MIDLAND LUTHERAN COLLEGE","NE","Private 4 Year","325","1206714"
"2557","MID-PLAINS COMMUNITY COLLEGE","NE","Public 2 Year","838","2812479"
"32793","MYOTHERAPY INSTITUTE","NE","Proprietary 2 Year","19","88227"
"12976","NEBRASKA CHRISTIAN COLLEGE","NE","Private 4 Year","58","185868"
"25508","NEBRASKA INDIAN COMMUNITY COLLEGE","NE","Public 2 Year","29","83957"
"6404","NEBRASKA METHODIST COLLEGE OF NURSING & ALLIED HEALTH","NE","Private 4 Year","212","881705"
"2555","NEBRASKA WESLEYAN UNIVERSITY","NE","Private 4 Year","481","1762961"
"11667","NORTHEAST COMMUNITY COLLEGE","NE","Public 2 Year","1516","5051306"
"31273","OMAHA SCHOOL OF MASSAGE AND HEALTHCARE OF HERZING UNIVERSITY","NE","Proprietary 2 Year","150","634160"
"2559","PERU STATE COLLEGE","NE","Public 4 Year","716","2673884"
"25083","SOUTHEAST COMMUNITY COLLEGE","NE","Public 2 Year","5360","13517225"
"2563","UNION COLLEGE","NE","Private 4 Year","287","1072936"
"38214","UNIVERSAL COLLEGE OF HEALING ARTS","NE","Proprietary 2 Year","39","165447"
"2565","UNIVERSITY OF NEBRASKA","NE","Public 4 Year","4180","15622688"
"2551","UNIVERSITY OF NEBRASKA - KEARNEY","NE","Public 4 Year","1779","6792618"
"2554","UNIVERSITY OF NEBRASKA - OMAHA","NE","Public 4 Year","3310","12518418"
"6895","UNIVERSITY OF NEBRASKA MEDICAL CENTER","NE","Public 4 Year","240","928406"
"7501","VATTEROTT COLLEGE","NE","Proprietary 2 Year","690","3111674"
"2566","WAYNE STATE COLLEGE","NE","Public 4 Year","1185","4434123"
"2560","WESTERN NEBRASKA COMMUNITY COLLEGE","NE","Public 2 Year","1061","3507236"
"26105","XENON INTERNATIONAL ACADEMY II","NE","Proprietary 2 Year","196","917134"
"2567","YORK COLLEGE","NE","Private 4 Year","203","791499"
"4733","CHESTER COLLEGE OF NEW ENGLAND","NH","Private 4 Year","79","296220"
"2572","COLBY-SAWYER COLLEGE","NH","Private 4 Year","321","1193891"
"13189","CONTINENTAL ACADEMIE OF HAIR DESIGN","NH","Proprietary 2 Year","38","147623"
"8493","CONTINENTAL ACADEMIE OF HAIR DESIGN","NH","Proprietary 2 Year","19","83726"
"4731","DANIEL WEBSTER COLLEGE","NH","Private 4 Year","218","838699"
"2573","DARTMOUTH COLLEGE","NH","Private 4 Year","652","2544048"
"21796","EMPIRE BEAUTY SCHOOL","NH","Proprietary 2 Year","197","668148"
"8645","EMPIRE BEAUTY SCHOOL","NH","Proprietary 2 Year","192","627018"
"2575","FRANKLIN PIERCE UNIVERSITY","NH","Private 4 Year","543","1885967"
"31013","GRANITE STATE COLLEGE","NH","Public 4 Year","709","2112353"
"2583","GREAT BAY COMMUNITY COLLEGE","NH","Public 2 Year","519","1573478"
"4729","HESSER COLLEGE","NH","Proprietary 4 Year","3295","11985405"
"22454","KEENE BEAUTY ACADEMY","NH","Proprietary 2 Year","52","158008"
"2590","KEENE STATE COLLEGE","NH","Public 4 Year","1016","3685074"
"7555","LAKES REGION COMMUNITY COLLEGE","NH","Public 2 Year","453","1477573"
"7025","LEBANON COLLEGE","NH","Private 4 Year","35","98290"
"22233","MAGDALEN COLLEGE","NH","Private 4 Year","16","74050"
"2582","MANCHESTER COMMUNITY COLLEGE","NH","Public 2 Year","834","2402550"
"4730","MCINTOSH COLLEGE","NH","Proprietary 2 Year","3","3113"
"21748","MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS","NH","Proprietary 2 Year","93","433618"
"9236","NASHUA COMMUNITY COLLEGE","NH","Public 2 Year","594","1816514"
"2579","NEW ENGLAND COLLEGE","NH","Private 4 Year","332","1334878"
"22470","NEW ENGLAND SCHOOL OF HAIR DESIGN","NH","Proprietary 2 Year","54","187247"
"37293","NEW HAMPSHIRE INSTITUTE FOR THERAPEUTIC ARTS","NH","Proprietary 2 Year","20","77512"
"31823","NEW HAMPSHIRE INSTITUTE OF ART","NH","Private 4 Year","143","476837"
"2581","NHTI  - CONCORD'S COMMUNITY COLLEGE","NH","Public 2 Year","1255","3891061"
"2591","PLYMOUTH STATE UNIVERSITY OF THE UNIVERSITY SYSTEM OF NEW HAMPSHIRE","NH","Public 4 Year","1046","3841864"
"22116","PORTSMOUTH BEAUTY SCHOOL OF HAIR DESIGN","NH","Proprietary 2 Year","14","54652"
"7560","RIVER VALLEY COMMUNITY COLLEGE","NH","Public 2 Year","392","1202581"
"2586","RIVIER COLLEGE","NH","Private 4 Year","412","1480714"
"2587","SAINT ANSELM COLLEGE","NH","Private 4 Year","318","1221319"
"21404","SAINT JOSEPH SCHOOL OF  NURSING","NH","Private 2 Year","62","195970"
"2580","SOUTHERN NEW HAMPSHIRE UNIVERSITY","NH","Private 4 Year","1704","4472586"
"30431","THOMAS MORE COLLEGE OF LIBERAL ARTS","NH","Private 4 Year","27","105123"
"2589","UNIVERSITY OF NEW HAMPSHIRE","NH","Public 4 Year","2773","10520497"
"34373","UPPER VALLEY EDUCATORS INSTITUTE","NH","Private 2 Year","14","66800"
"5291","WHITE MOUNTAINS COMMUNITY COLLEGE","NH","Public 2 Year","547","1808881"
"33893","ACADEMY OF MASSAGE THERAPY","NJ","Proprietary 2 Year","145","567605"
"41364","AMERICAN INSTITUTE OF MEDICAL SCIENCES & EDUCATION","NJ","Proprietary 2 Year","52","166520"
"10851","ANTHEM INSTITUTE","NJ","Proprietary 2 Year","1489","5332393"
"25259","ARTISTIC ACADEMY OF HAIR DESIGN","NJ","Proprietary 2 Year","77","251786"
"22346","ATLANTIC BEAUTY & SPA ACADEMY","NJ","Proprietary 2 Year","105","425517"
"2596","ATLANTIC CAPE COMMUNITY COLLEGE","NJ","Public 2 Year","4305","12876649"
"40813","BAIS MEDRASH TORAS CHESED","NJ","Private 4 Year","23","101155"
"21323","BERDAN INSTITUTE","NJ","Proprietary 2 Year","632","2201677"
"4736","BERGEN COMMUNITY COLLEGE","NJ","Public 2 Year","4641","16128596"
"23120","BERGEN COUNTY TECHNICAL SCHOOLS","NJ","Public 2 Year","36","85917"
"7502","BERKELEY COLLEGE","NJ","Proprietary 4 Year","3046","12271388"
"7947","BETH MEDRASH GOVOHA OF AMERICA","NJ","Private 4 Year","1547","7386239"
"2597","BLOOMFIELD COLLEGE","NJ","Private 4 Year","1356","5741457"
"8404","BROOKDALE COMMUNITY COLLEGE","NJ","Public 2 Year","4493","14758729"
"7730","BURLINGTON COUNTY COLLEGE - PEMBERTON CAMPUS","NJ","Public 2 Year","2760","9112262"
"2598","CALDWELL COLLEGE","NJ","Private 4 Year","568","2099935"
"6865","CAMDEN COUNTY COLLEGE","NJ","Public 2 Year","6200","21495178"
"21037","CAPRI INSTITUTE OF HAIR DESIGN","NJ","Proprietary 2 Year","116","382721"
"21836","CAPRI INSTITUTE OF HAIR DESIGN","NJ","Proprietary 2 Year","137","505956"
"22655","CAPRI INSTITUTE OF HAIR DESIGN","NJ","Proprietary 2 Year","127","433408"
"9078","CAPRI INSTITUTE OF HAIR DESIGN","NJ","Proprietary 2 Year","212","764193"
"2599","CENTENARY COLLEGE","NJ","Private 4 Year","464","1796291"
"41341","CENTER FOR ALLIED HEALTH & NURSING EDUCATION (THE)","NJ","Proprietary 2 Year","522","1913444"
"33243","CENTRAL CAREER SCHOOL","NJ","Proprietary 2 Year","128","336062"
"2642","COLLEGE OF NEW JERSEY (THE)","NJ","Public 4 Year","1020","4171456"
"2600","COLLEGE OF SAINT ELIZABETH","NJ","Private 4 Year","352","1444246"
"22527","CONCORDE SCHOOL OF HAIR DESIGN","NJ","Proprietary 2 Year","432","1509114"
"22486","COOPER HEALTH SYSTEM - CENTER FOR ALLIED HEALTH EDUCATION","NJ","Private 2 Year","12","41693"
"35744","CORTIVA INSTITUTE - SOMERSET SCHOOL OF MASSAGE THERAPY","NJ","Proprietary 2 Year","81","190614"
"7729","COUNTY COLLEGE OF MORRIS","NJ","Public 2 Year","1677","5379079"
"2601","CUMBERLAND COUNTY COLLEGE","NJ","Public 2 Year","1718","6226879"
"21540","DIVERS ACADEMY OF THE EASTERN SEABOARD","NJ","Proprietary 2 Year","82","265426"
"12346","DOVER BUSINESS COLLEGE","NJ","Proprietary 2 Year","1152","3411536"
"22239","DRAKE COLLEGE OF BUSINESS","NJ","Proprietary 2 Year","4141","15714453"
"2603","DREW UNIVERSITY","NJ","Private 4 Year","413","1706372"
"21311","DUCRET SCHOOL OF THE ARTS","NJ","Private 2 Year","25","105878"
"31226","EASTERN INTERNATIONAL COLLEGE","NJ","Proprietary 2 Year","351","1533416"
"38113","EASTERN SCHOOL OF ACUPUNCTURE AND TRADITIONAL MEDICINE","NJ","Proprietary 2 Year","9","31275"
"20537","EASTWICK COLLEGE","NJ","Proprietary 2 Year","716","2237028"
"23442","EMPIRE BEAUTY SCHOOL","NJ","Proprietary 2 Year","419","1420679"
"21498","EMPIRE BEAUTY SCHOOL-LAUREL SPRINGS","NJ","Proprietary 2 Year","356","1176199"
"7107","ESSEX COUNTY COLLEGE","NJ","Public 2 Year","7007","24771450"
"22618","EUROPEAN ACADEMY OF COSMETOLOGY","NJ","Proprietary 2 Year","151","571429"
"2607","FAIRLEIGH DICKINSON UNIVERSITY","NJ","Private 4 Year","1931","7515237"
"2610","FELICIAN COLLEGE","NJ","Private 4 Year","782","3125359"
"41250","GENTLE HEALING SCHOOL OF MASSAGE","NJ","Proprietary 2 Year","10","23617"
"2608","GEORGIAN COURT UNIVERSITY","NJ","Private 4 Year","768","3011174"
"7507","GIBBS COLLEGE","NJ","Proprietary 2 Year","72","144700"
"6901","GLOUCESTER COUNTY COLLEGE","NJ","Public 2 Year","1819","6268532"
"21040","HARRIS SCHOOL OF BUSINESS","NJ","Proprietary 2 Year","1586","4816100"
"25869","HARRIS SCHOOL OF BUSINESS","NJ","Proprietary 2 Year","816","2686474"
"38033","HEALTHCARE TRAINING INSTITUTE","NJ","Proprietary 2 Year","153","503051"
"8494","HO HO KUS SCHL OF TRADE & TECH SCIENCES","NJ","Proprietary 2 Year","271","928094"
"12462","HOHOKUS - HACKENSACK SCHOOL OF BUSINESS & MEDICAL SCIENCES","NJ","Proprietary 2 Year","730","2231737"
"20923","HOHOKUS SCHOOL - RETS/NUTLEY","NJ","Proprietary 2 Year","639","1947149"
"12954","HUDSON COUNTY COMMUNITY COLLEGE","NJ","Public 2 Year","6412","23098724"
"31973","INSTITUTE FOR HEALTH EDUCATION (THE)","NJ","Proprietary 2 Year","214","822830"
"35363","INSTITUTE FOR THERAPEUTIC MASSAGE","NJ","Proprietary 2 Year","98","306895"
"21468","JOE KUBERT SCHOOL OF CARTOON & GRAPHIC ART (THE)","NJ","Proprietary 2 Year","21","96700"
"2622","KEAN UNIVERSITY","NJ","Public 4 Year","4525","17871198"
"35303","KEYSKILLS LEARNING","NJ","Proprietary 2 Year","23","69946"
"12461","LINCOLN TECHNICAL INSTITUTE","NJ","Proprietary 2 Year","5636","19560273"
"22910","LINCOLN TECHNICAL INSTITUTE","NJ","Proprietary 2 Year","172","785837"
"7506","LINCOLN TECHNICAL INSTITUTE","NJ","Proprietary 2 Year","2823","11518668"
"4740","MERCER COUNTY COMMUNITY COLLEGE","NJ","Public 2 Year","3578","10394720"
"36373","METRO AUTO ELECTRONICS TRAINING INSTITUTE","NJ","Proprietary 2 Year","67","173952"
"2615","MIDDLESEX COUNTY COLLEGE","NJ","Public 2 Year","4962","16744675"
"5399","MONMOUTH COUNTY VOCATIONAL SCHOOL DISTRICT","NJ","Public 2 Year","43","161864"
"2616","MONMOUTH UNIVERSITY","NJ","Private 4 Year","1059","4474230"
"2617","MONTCLAIR STATE UNIVERSITY","NJ","Public 4 Year","4436","17400479"
"11523","MORRIS COUNTY SCHOOL OF TECHNOLOGY","NJ","Public 2 Year","12","51676"
"6420","MOUNTAINSIDE HOSPITAL SCHOOL OF NURSING","NJ","Proprietary 2 Year","33","111618"
"6421","MUHLENBERG HAROLD B. AND DOROTHY A. SNYDER SCHOOLS","NJ","Private 2 Year","211","466243"
"41549","NATIONAL CAREER INSTITUTE","NJ","Proprietary 2 Year","109","375533"
"11708","NATURAL MOTION INSTITUTE OF HAIR DESIGN","NJ","Proprietary 2 Year","134","509023"
"34245","NEW COMMUNITY WORKFORCE DEVELOPMENT CENTER","NJ","Private 2 Year","337","979083"
"2613","NEW JERSEY CITY UNIVERSITY","NJ","Public 4 Year","3524","13920329"
"2621","NEW JERSEY INSTITUTE OF TECHNOLOGY","NJ","Public 4 Year","2027","8280906"
"2624","OCEAN COUNTY COLLEGE","NJ","Public 2 Year","2988","9813646"
"25237","OCEAN COUNTY VOCATIONAL - TECHNICAL SCHOOLS","NJ","Public 2 Year","115","461418"
"22196","OMEGA INSTITUTE","NJ","Proprietary 2 Year","254","767048"
"7593","PARISIAN BEAUTY ACADEMY","NJ","Proprietary 2 Year","184","636951"
"9994","PASSAIC COUNTY COMMUNITY COLLEGE","NJ","Public 2 Year","4942","14439234"
"10629","PB COSMETOLOGY EDUCATION CENTRE","NJ","Proprietary 2 Year","151","633656"
"36506","PC AGE","NJ","Proprietary 2 Year","131","521235"
"37693","PC TECH LEARNING CENTER","NJ","Proprietary 2 Year","32","82646"
"21316","PENNCO TECH","NJ","Proprietary 2 Year","873","3602557"
"36253","PERFORMANCE TRAINING INSTITUTE","NJ","Proprietary 2 Year","192","607162"
"2627","PRINCETON UNIVERSITY","NJ","Private 4 Year","555","2183620"
"30775","RABBI JACOB JOSEPH SCHOOL","NJ","Private 4 Year","10","42300"
"8609","RABBINICAL COLLEGE OF AMERICA","NJ","Private 4 Year","54","250150"
"9344","RAMAPO COLLEGE OF NEW JERSEY","NJ","Public 4 Year","1245","5159106"
"7731","RARITAN VALLEY COMMUNITY COLLEGE","NJ","Public 2 Year","1566","4791568"
"9345","RICHARD STOCKTON COLLEGE OF NEW JERSEY (THE)","NJ","Public 4 Year","2151","8476185"
"2628","RIDER UNIVERSITY","NJ","Private 4 Year","1159","4414785"
"10903","RIZZIERI AVEDA SCHOOL OF BEAUTY AND WELLNESS","NJ","Proprietary 2 Year","110","357770"
"12090","ROBERT FIANCE BEAUTY SCHOOLS","NJ","Proprietary 2 Year","184","615099"
"22237","ROBERT FIANCE BEAUTY SCHOOLS","NJ","Proprietary 2 Year","189","550287"
"25282","ROBERT FIANCE BEAUTY SCHOOLS","NJ","Proprietary 2 Year","124","439883"
"20618","ROMAN ACADEMY OF BEAUTY CULTURE","NJ","Proprietary 2 Year","81","285722"
"2609","ROWAN UNIVERSITY","NJ","Public 4 Year","2725","10637027"
"2629","RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","NJ","Public 4 Year","12929","56898189"
"2638","SAINT PETER'S COLLEGE","NJ","Private 4 Year","1194","4967880"
"5461","SALEM COMMUNITY COLLEGE","NJ","Public 2 Year","632","2080957"
"2632","SETON HALL UNIVERSITY","NJ","Private 4 Year","1421","5689003"
"36663","SOMERSET CHRISTIAN COLLEGE","NJ","Private 4 Year","139","493004"
"5460","SOMERSET COUNTY TECHNICAL INSTITUTE","NJ","Public 2 Year","78","241910"
"6429","ST FRANCIS MEDICAL CENTER","NJ","Private 2 Year","2","6326"
"31873","STENOTECH CAREER INSTITUTE","NJ","Proprietary 2 Year","59","271140"
"2639","STEVENS INSTITUTE OF TECHNOLOGY","NJ","Private 4 Year","490","1890634"
"25688","SUSSEX COUNTY COMMUNITY COLLEGE","NJ","Public 2 Year","1108","3524559"
"11989","TALMUDICAL ACADEMY","NJ","Private 4 Year","34","166200"
"5452","TETERBORO SCHOOL OF AERONAUTICS","NJ","Proprietary 2 Year","145","590753"
"21922","THOMAS A EDISON STATE COLLEGE","NJ","Public 4 Year","1351","2942954"
"41312","TOTAL IMAGE BEAUTY ACADEMY","NJ","Proprietary 2 Year","13","59517"
"2643","UNION COUNTY COLLEGE","NJ","Public 2 Year","5789","19852399"
"22325","UNION COUNTY VOCATIONAL TECHNICAL SCHOOLS","NJ","Public 2 Year","87","302126"
"10394","UNIVERSITY OF MEDICINE & DENTISTRY OF NEW JERSEY","NJ","Public 4 Year","130","389004"
"25039","WARREN COUNTY COMMUNITY COLLEGE","NJ","Public 2 Year","572","1909726"
"2625","WILLIAM PATERSON UNIVERSITY OF NEW JERSEY","NJ","Public 4 Year","3214","13051569"
"41311","YESHIVA TORAS CHAIM","NJ","Private 4 Year","76","381674"
"41234","YESHIVAS BE'ER YITZCHOK","NJ","Private 4 Year","18","77850"
"4742","CENTRAL NEW MEXICO COMMUNITY COLLEGE","NM","Public 2 Year","13197","30537020"
"4743","CLOVIS COMMUNITY COLLEGE","NM","Public 2 Year","1506","4753710"
"2649","COLLEGE OF SANTA FE","NM","Private 4 Year","78","275796"
"10632","DEWOLFF COLLEGE OF HAIRSTYLING AND COSMETOLOGY","NM","Proprietary 2 Year","166","689760"
"2651","EASTERN NEW MEXICO UNIVERSITY","NM","Public 4 Year","3694","13903084"
"21464","INSTITUTE OF AMERICAN INDIAN & ALASKA NATIVE CULTURE & ARTSDEVELOPMENT","NM","Public 4 Year","207","842091"
"9962","LUNA COMMUNITY COLLEGE","NM","Public 2 Year","558","1966149"
"39443","MASSAGE THERAPY TRAINING INSTITUTE","NM","Proprietary 2 Year","34","118291"
"32063","MESALANDS COMMUNITY COLLEGE","NM","Public 2 Year","298","1147668"
"23576","NAVAJO TECHNICAL COLLEGE","NM","Public 2 Year","713","2595600"
"2653","NEW MEXICO HIGHLANDS UNIVERSITY","NM","Public 4 Year","1347","5303229"
"2654","NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY","NM","Public 4 Year","316","1232875"
"2655","NEW MEXICO JUNIOR COLLEGE","NM","Public 2 Year","1046","3432473"
"2656","NEW MEXICO MILITARY INSTITUTE","NM","Public 2 Year","139","521695"
"2657","NEW MEXICO STATE UNIVERSITY","NM","Public 4 Year","12890","48774017"
"20839","NORTHERN NEW MEXICO COLLEGE","NM","Public 4 Year","986","3659271"
"13005","OLYMPIAN UNIVERSITY OF COSMETOLOGY","NM","Proprietary 2 Year","1198","4076831"
"36783","PIMA MEDICAL INSTITUTE","NM","Proprietary 2 Year","30","106843"
"2093","SAINT JOHN'S COLLEGE","NM","Private 4 Year","122","516322"
"2660","SAN JUAN COLLEGE","NM","Public 2 Year","2754","9654512"
"22781","SANTA FE COMMUNITY COLLEGE","NM","Public 2 Year","1649","5618756"
"25110","SOUTHWESTERN INDIAN POLYTECHNIC INSTITUTE","NM","Public 2 Year","492","1969514"
"34303","UNIVERSAL THERAPEUTIC MASSAGE INSTITUTE","NM","Proprietary 2 Year","75","238854"
"2663","UNIVERSITY OF NEW MEXICO","NM","Public 4 Year","12309","48041664"
"2650","UNIVERSITY OF THE SOUTHWEST","NM","Private 4 Year","183","662183"
"41624","URBAN ACADEMY","NM","Proprietary 2 Year","16","37172"
"2664","WESTERN NEW MEXICO UNIVERSITY","NM","Public 4 Year","1485","5638095"
"13232","ACADEMY OF HAIR DESIGN","NV","Proprietary 2 Year","160","606379"
"31100","ACADEMY OF HEALING ARTS","NV","Proprietary 2 Year","490","1582443"
"30846","ART INSTITUTE OF LAS VEGAS (THE)","NV","Proprietary 4 Year","1965","7201052"
"26215","CAREER COLLEGE OF NORTHERN NEVADA","NV","Proprietary 2 Year","579","2431818"
"30882","CARSON CITY BEAUTY ACADEMY","NV","Proprietary 2 Year","110","471550"
"41476","CASAL INSTITUTE OF NEVADA","NV","Proprietary 2 Year","81","291207"
"10362","COLLEGE OF SOUTHERN NEVADA","NV","Public 4 Year","9860","28218854"
"22375","EVEREST COLLEGE","NV","Proprietary 2 Year","1310","4641607"
"37873","EXPERTISE COSMETOLOGY INSTITUTE","NV","Private 2 Year","257","1087346"
"6977","GREAT BASIN COLLEGE","NV","Public 4 Year","731","2214390"
"39753","INSTITUTE OF PROFESSIONAL CAREERS","NV","Proprietary 2 Year","6","18460"
"41448","INTERNATIONAL ACADEMY OF STYLE","NV","Proprietary 2 Year","20","76318"
"30432","KAPLAN COLLEGE","NV","Proprietary 2 Year","977","3038897"
"7371","MARINELLO SCHOOL OF BEAUTY","NV","Proprietary 2 Year","173","629034"
"7367","MARINELLO SCHOOLS OF BEAUTY","NV","Proprietary 2 Year","351","1379558"
"41143","NEVADA STATE COLLEGE","NV","Public 4 Year","627","2260171"
"38385","NORTHWEST HEALTH CAREERS","NV","Proprietary 2 Year","165","548864"
"9192","SIERRA NEVADA COLLEGE","NV","Private 4 Year","136","549158"
"21077","TRUCKEE MEADOWS COMMUNITY COLLEGE","NV","Public 2 Year","4026","12423729"
"2569","UNIVERSITY OF NEVADA - LAS VEGAS","NV","Public 4 Year","6126","22952495"
"2568","UNIVERSITY OF NEVADA , RENO","NV","Public 4 Year","2643","9535684"
"40653","UNIVERSITY OF SOUTHERN NEVADA","NV","Private 4 Year","68","348291"
"10363","WESTERN NEVADA COLLEGE","NV","Public 4 Year","1818","5258900"
"33424","A.B.I. SCHOOL OF BARBERING AND COSMETOLOGY OF CHELSEA","NY","Proprietary 2 Year","161","486021"
"41560","ACADEMY OF COSMETOLOGY & ESTHETICS NYC (THE)","NY","Proprietary 2 Year","12","31775"
"40433","ACE COMPUTER TRAINING CENTER","NY","Proprietary 2 Year","10","38068"
"2666","ADELPHI UNIVERSITY","NY","Private 4 Year","1379","5250241"
"31037","ADIRONDACK BEAUTY SCHOOL","NY","Proprietary 2 Year","23","87051"
"21719","AILEY SCHOOL (THE)","NY","Private 2 Year","20","89584"
"2885","ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES","NY","Private 4 Year","224","869236"
"21702","ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM","NY","Public 2 Year","128","548798"
"2668","ALFRED UNIVERSITY","NY","Private 4 Year","662","2578976"
"33583","ALLEN SCHOOL","NY","Proprietary 2 Year","1818","5909446"
"10813","AMERICAN ACADEMY MCALLISTER INSTITUTE","NY","Private 2 Year","107","274816"
