"OPEID","PELLID","Name","State","Type & Control","Recipients","Awards"
"683500","6835","DYERSBURG STATE COMMUNITY COLLEGE","TN","public 2 year","1358","2943435.1200000001"
"348700","3487","EAST TENNESSEE STATE UNIVERSITY","TN","public 4 year","3306","8578842.3800000008"
"2204200","15575","ELECTRONIC COMPUTER PROGRAMMING COLLEGE","TN","proprietary","224","503886.88"
"2595000","25950","FAYETTEVILE BEAUTY SCHOOL","TN","proprietary","64","160074.67000000001"
"349000","3490","FISK UNIVERSITY","TN","private 4 year","396","1134488"
"743900","7439","FOUNTAINHEAD COLLEGE OF TECHNOLOGY","TN","proprietary","102","250135.76999999999"
"3008800","30088","FRANKLIN ACADEMY","TN","private 2 year","94","193019.20000000001"
"3001800","30018","FREE WILL BAPTIST BIBLE COLLEGE","TN","private 4 year","134","317424.46000000002"
"349200","3492","FREED-HARDEMAN UNIVERSITY","TN","private 4 year","472","1274752"
"349400","3494","HIWASSEE COLLEGE","TN","private 2 year","173","432433.48999999999"
"3920300","39203","INSTITUTE OF HAIR DESIGN","TN","proprietary","32","66469.380000000005"
"493700","4937","JACKSON STATE COMMUNITY COLLEGE","TN","public 2 year","1590","3453861.4100000001"
"885900","8859","JOHN A. GUPTON COLLEGE","TN","private 2 year","44","98723.509999999995"
"2153100","15171","JOHN NAVE UNIVERSITY OF COSMETOLOGY","TN","proprietary","3","4837"
"349500","3495","JOHNSON BIBLE COLLEGE","TN","private 4 year","247","670397.69999999995"
"349600","3496","KING COLLEGE","TN","private 4 year","297","765242"
"349800","3498","LAMBUTH UNIVERSITY","TN","private 4 year","251","682694.40000000002"
"349900","3499","LANE COLLEGE","TN","private 4 year","1108","3463982"
"4025300","40253","LAST MINUTE CUTS SCHOOL OF BARBERING AND COSMETOLOGY","TN","proprietary","25","72600"
"350000","3500","LEE UNIVERSITY","TN","private 4 year","1137","3022402"
"350100","3501","LEMOYNE-OWEN COLLEGE","TN","private 4 year","670","1799649"
"350200","3502","LINCOLN MEMORIAL UNIVERSITY","TN","private 4 year","719","1942241.6499999999"
"350400","3504","MARTIN METHODIST COLLEGE","TN","private 4 year","392","998068"
"350500","3505","MARYVILLE COLLEGE","TN","private 4 year","319","849196"
"4037400","40374","MASON ACADEMY OF COSMETOLOGY","TN","proprietary","3","5150"
"2597600","25976","MCCOLLUM & ROSS  HAIR SCHOOL","TN","proprietary","183","419439.01000000001"
"2326300","10815","MEDVANCE INSTITUTE","TN","proprietary","1209","2748929"
"350700","3507","MEMPHIS COLLEGE OF ART","TN","private 4 year","153","391006.04999999999"
"660000","6600","METHODIST HOSPITAL SCHOOL OF NURSING","TN","private 2 year","10","25800"
"865500","8655","MIDDLE TENNESSEE SCHOOL OF COSMETOLOGY","TN","proprietary","169","400265"
"351000","3510","MIDDLE TENNESSEE STATE UNIVERSITY","TN","public 4 year","5496","13933442.74"
"2614200","26142","MILLER - MOTTE TECHNICAL COLLEGE","TN","proprietary","3051","6320218.0199999996"
"351100","3511","MILLIGAN COLLEGE","TN","private 4 year","202","486930"
"2278700","16075","MISTER WAYNE'S SCHOOL OF UNISEX HAIR DESIGN","TN","proprietary","27","44410.360000000001"
"683600","6836","MOTLOW STATE COMMUNITY COLLEGE","TN","public 2 year","1045","2201218"
"744000","7440","NASHVILLE AUTO DIESEL COLLEGE","TN","proprietary","1456","3241849.3999999999"
"2125300","13631","NASHVILLE COLLEGE OF MEDICAL CAREERS","TN","proprietary","270","667217.54000000004"
"814500","7534","NASHVILLE STATE TECHNICAL COMMUNITY COLLEGE","TN","public 2 year","2693","5703521.3399999999"
"461700","4617","NATIONAL COLLEGE OF BUSINESS AND TECHNOLOGY","TN","proprietary","624","1507100.2"
"4035300","40353","NAVE COSMETOLOGY ACADEMY","TN","proprietary","21","51096"
"3647300","36473","NEW CONCEPTS SCHOOL OF COSMETOLOGY","TN","proprietary","4","8200"
"3149300","31493","NEW DIRECTIONS HAIR ACADEMY","TN","proprietary","255","539014.78000000003"
"2498000","16813","NEW WAVE HAIR ACADEMY","TN","proprietary","170","430524.04999999999"
"3012500","30125","NEW WAVE HAIR ACADEMY","TN","proprietary","486","1149716.1000000001"
"3079100","30791","NORTH CENTRAL INSTITUTE","TN","proprietary","38","75998.729999999996"
"537800","5378","NORTHEAST STATE TECHNICAL COMMUNITY COLLEGE","TN","public 2 year","2152","4765944"
"2578200","17347","NOSSI COLLEGE OF ART","TN","proprietary","230","624702.5"
"2106400","14663","O'MORE COLLEGE OF DESIGN","TN","private 4 year","36","98813.5"
"1269300","12693","PELLISSIPPI STATE TECHNICAL COMMUNITY COLLEGE","TN","public 2 year","2627","5596625"
