"PELLID","OPEID","GAPSID","Name","State","Type & Control","Recipients","Awards"
"1389","138900","1216","HOLY APOSTLES COLLEGE & SEMINARY","CT","Private 4 Year","5","17616"
"4513","451300","2518","HOUSATONIC COMMUNITY COLLEGE","CT","Public 2 year","2105","4832086.2400000002"
"15835","2245300","4023","HOWELL CHENEY TECHNICAL HIGH SCHOOL","CT","Public 2 year","12","32877"
"30948","3094800","4700","INDUSTRIAL MANAGEMENT & TRAINING INSTITUTE","CT","Proprietary","92","192662"
"9291","929100","3178","J M WRIGHT TECHNICAL HIGH SCHOOL","CT","Public 2 year","8","23681"
"12913","1291300","3593","LEON INSTITUTE OF HAIR DESIGN","CT","Proprietary","32","85866"
"15712","730300","2917","LINCOLN TECHNICAL INSTITUTE","CT","Proprietary","1695","5202502"
"30794","3079400","4668","LYME ACADEMY COLLEGE OF FINE ARTS","CT","Private 4 Year","32","108890.87"
"1392","139200","1217","MANCHESTER COMMUNITY COLLEGE","CT","Public 2 year","1820","4150562.1400000001"
"8038","803800","3034","MIDDLESEX COMMUNITY COLLEGE","CT","Public 2 year","815","1816373.1699999999"
"1393","139300","1218","MITCHELL COLLEGE","CT","Private 4 Year","244","836469.85999999999"
"6982","698200","2880","NAUGATUCK VALLEY COMMUNITY COLLEGE","CT","Public 2 year","1415","3328558.9700000002"
"22025","2202500","727","NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF CONN","CT","Proprietary","641","1335118"
"14730","2112700","3756","NORTH HAVEN ACADEMY","CT","Proprietary","74","212663"
"1398","139800","1220","NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE","CT","Public 2 year","342","781109.57999999996"
"1399","139900","1221","NORWALK COMMUNITY COLLEGE","CT","Public 2 year","1480","3514662.5699999998"
"11843","1184300","3479","NORWICH TECHNICAL HIGH SCHOOL","CT","Public 2 year","4","9805"
"7459","745900","2938","PAIER COLLEGE OF ART","CT","Proprietary","55","158467"
"13794","887300","559","PAUL MITCHELL THE SCHOOL","CT","Proprietary","63","174045"
"25650","2565000","4428","PLATT TECHNICAL HIGH SCHOOL","CT","Public 2 year","9","30778.5"
"10779","1077900","613","PORTER AND CHESTER INSTITUTE","CT","Proprietary","1667","3732384"
"7305","730500","514","PORTER AND CHESTER INSTITUTE OF BRANFORD","CT","Proprietary","260","493766"
"1401","140100","1222","POST UNIVERSITY","CT","Proprietary","715","2100826"
"10530","1053000","3352","QUINEBAUG VALLEY COMMUNITY COLLEGE","CT","Public 2 year","777","1647859.3300000001"
"1402","140200","1223","QUINNIPIAC UNIVERSITY","CT","Private 4 Year","514","1514740"
"8872","887200","3122","RENASCI ACADEMY OF HAIR","CT","Proprietary","14","36798"
"14703","2112300","694","RIDLEY - LOWELL BUSINESS & TECHNICAL INSTITUTE","CT","Proprietary","499","1141033"
"1403","140300","1224","SACRED HEART UNIVERSITY","CT","Private 4 Year","558","1707511"
"1409","140900","1226","SAINT JOSEPH COLLEGE","CT","Private 4 Year","317","1008665"
"1406","140600","1225","SOUTHERN CONNECTICUT STATE UNIVERSITY","CT","Public 4 year","1836","5716402.25"
"6191","619100","2792","ST VINCENT'S COLLEGE","CT","Private 2 Year","111","246960.44"
"12425","1242500","3544","STONE ACADEMY","CT","Proprietary","1216","2754847.5"
"9765","976500","3240","THREE RIVERS COMMUNITY COLLEGE","CT","Public 2 year","1234","2496427.75"
"1414","141400","65","TRINITY COLLEGE","CT","Private 4 Year","319","1064769"
"9764","976400","3239","TUNXIS COMMUNITY COLLEGE","CT","Public 2 year","1095","2645706.27"
"1416","141600","1227","UNIVERSITY OF BRIDGEPORT","CT","Private 4 Year","860","2515754.21"
"1417","141700","1228","UNIVERSITY OF CONNECTICUT","CT","Public 4 year","3421","11180193"
"1422","142200","1229","UNIVERSITY OF HARTFORD","CT","Private 4 Year","995","3198505.6800000002"
"1397","139700","1219","UNIVERSITY OF NEW HAVEN","CT","Private 4 Year","797","2503295"
"11697","1169700","3463","VINAL TECHNICAL HIGH SCHOOL","CT","Public 2 year","12","25010"
"14603","2300000","4140","W F KAYNOR TECHNICAL HIGH SCHOOL","CT","Public 2 year","11","26189"
"1424","142400","1230","WESLEYAN UNIVERSITY","CT","Private 4 Year","352","1232642"
"1380","138000","1214","WESTERN CONNECTICUT STATE UNIVERSITY","CT","Public 4 year","954","2949477.5"
"16003","2265900","4066","WINDHAM COMMUNITY MEMORIAL HOSPITAL PROGRAM OF RADIOLOGIC TECHNOLOGY","CT","Private 2 Year","6","19415"
"7311","731100","2919","WINDHAM TECHNICAL HIGH SCHOOL","CT","Public 2 year","15","45576.5"
"1426","142600","1232","YALE UNIVERSITY","CT","Private 4 Year","537","1906167.04"
"1434","143400","67","AMERICAN UNIVERSITY","DC","Private 4 Year","637","2003228.51"
"34096","3409600","4966","BENNETT CAREER INSTITUTE","DC","Proprietary","142","379461.44"
"31043","3104300","5622","CAREER TECHNICAL INSTITUTE","DC","Proprietary","441","1085143"
"1437","143700","1237","CATHOLIC UNIVERSITY OF AMERICA","DC","Private 4 Year","352","997073.59999999998"
"11950","1195000","3496","CORCORAN COLLEGE OF ART AND DESIGN","DC","Private 4 Year","79","284142"
"16085","2279200","4093","DUDLEY BEAUTY COLLEGE","DC","Proprietary","113","304885.46000000002"
"1443","144300","1239","GALLAUDET UNIVERSITY","DC","Private 4 Year","361","1256085"
"1444","144400","1240","GEORGE WASHINGTON UNIVERSITY","DC","Private 4 Year","1005","3370385.4100000001"
"1445","144500","1241","GEORGETOWN UNIVERSITY","DC","Private 4 Year","677","2267215.0099999998"
"1448","144800","68","HOWARD UNIVERSITY","DC","Private 4 Year","2520","8716401.5600000005"
"14941","2132800","3796","NATIONAL CONSERVATORY OF DRAMATIC ARTS","DC","Private 2 Year","9","31264"
"32183","3218300","4875","POTOMAC COLLEGE","DC","Proprietary","320","850276"
"1456","145600","1242","SOUTHEASTERN UNIVERSITY","DC","Private 4 Year","356","832637.67000000004"
