"OPEID","NAME","CITY","STATE","Insttype","Recips","Awards"
"262100","NEW JERSEY INST OF TECHNOLOGY","NEWARK","NJ","Public 4 Year","2540","10295504"
"262400","OCEAN COUNTY COLLEGE","TOMS RIVER","NJ","Public 2 Year","3841","13086148"
"2523700","OCEAN COUNTY VOCATIONAL-TECH SCHOOL","TOMS RIVER","NJ","Public 2 Year","162","495623"
"2219600","OMEGA INSTITUTE","PENNSAUKEN","NJ","Proprietary 2 Year","249","883028"
"1062900","P B COSMETOLOGY EDUCATION CENTRE","GLOUCESTER CITY","NJ","Proprietary 2 Year","174","625846"
"759300","PARISIAN BEAUTY ACADEMY","HACKENSACK","NJ","Proprietary 2 Year","231","772859"
"999400","PASSAIC COUNTY COMMUNITY COLLEGE","PATERSON","NJ","Public 2 Year","6573","20758538"
"3650600","PC AGE","JERSEY CITY","NJ","Proprietary 2 Year","259","944528"
"3650603","PC AGE","EDISON","NJ","Proprietary 2 Year","1","2775"
"2131600","PENNCO TECH","BLACKWOOD","NJ","Proprietary 2 Year","772","2835162"
"3625300","PERFORMANCE TRAINING INSTITUTE","TOMS RIVER","NJ","Proprietary 2 Year","932","3304672"
"262700","PRINCETON UNIVERSITY","PRINCETON","NJ","Private 4 Year","638","2417064"
"2558700","PRISM CAREER INSTITUTE","HAMMONTON","NJ","Proprietary 2 Year","682","2184963"
"3077500","RABBI JACOB JOSEPH SCHOOL","EDISON","NJ","Private 4 Year","22","104950"
"860900","RABBINICAL COLLEGE OF AMERICA","MORRISTOWN","NJ","Private 4 Year","100","463457"
"934400","RAMAPO COLLEGE OF NEW JERSEY","MAHWAH","NJ","Public 4 Year","1451","5832797"
"773100","RARITAN VALLEY COMMUNITY COLLEGE","SOMERVILLE","NJ","Public 2 Year","2198","7096004"
"1209000","REIGNBOW BEAUTY ACADEMY","PERTH AMBOY","NJ","Proprietary 2 Year","165","569568"
"2528200","REIGNBOW BEAUTY ACADEMY","NORTH PLAINFIELD","NJ","Proprietary 2 Year","132","432830"
"934500","RICHARD STOCKTON COLLEGE OF NJ","POMONA","NJ","Public 4 Year","2749","10815368"
"262800","RIDER UNIVERSITY","LAWRENCEVILLE","NJ","Private 4 Year","1258","4902784"
"1090300","RIZZIERI INSTITUTE","VOORHEES","NJ","Proprietary 2 Year","134","450565"
"2061800","ROMAN ACADEMY OF BEAUTY CULTURE","HAWTHORNE","NJ","Proprietary 2 Year","73","241126"
"260900","ROWAN UNIVERSITY","GLASSBORO","NJ","Public 4 Year","3346","13209628"
"262900","RUTGERS, THE STATE UNIVERSITY OF NJ","NEW BRUNS-NEWARK-CAMDEN","NJ","Public 4 Year","15658","65296844"
"263800","SAINT PETER'S UNIVERSITY","JERSEY CITY","NJ","Private 4 Year","1272","5398675"
"546100","SALEM COMMUNITY COLLEGE","CARNEY'S POINT","NJ","Public 2 Year","719","2507408"
"4191400","SCHOOL OF COURT REPORTING (THE)","MARLTON","NJ","Proprietary 2 Year","42","134272"
"263200","SETON HALL UNIVERSITY","SOUTH ORANGE","NJ","Private 4 Year","1569","6497337"
"2234600","SHORE BEAUTY SCHOOL","PLEASANTVILLE","NJ","Proprietary 2 Year","140","469050"
"3666300","SOMERSET CHRISTIAN COLLEGE","ZAREPHATH","NJ","Private 4 Year","220","838925"
"642900","ST FRANCIS MEDICAL CTR SCH NURSING","TRENTON","NJ","Private 2 Year","3","11700"
"4154500","STARTING POINTS FOR CHILDREN","JERSEY CITY","NJ","Private 2 Year","101","274026"
"3187300","STENOTECH CAREER INSTITUTE","FAIRFIELD","NJ","Proprietary 2 Year","61","253858"
"263900","STEVENS INSTITUTE OF TECHNOLOGY","HOBOKEN","NJ","Private 4 Year","584","2288746"
"2568800","SUSSEX COUNTY COMMUNITY COLLEGE","NEWTON","NJ","Public 2 Year","1262","4057284"
"1198900","TALMUDICAL ACADEMY","ADELPHIA","NJ","Private 4 Year","49","233725"
"545200","TETERBORO SCH OF AERONAUTICS","TETERBORO","NJ","Proprietary 2 Year","177","698568"
"2192200","THOMAS EDISON STATE COLLEGE","TRENTON","NJ","Public 4 Year","2156","5055902"
"4131200","TOTAL IMAGE BEAUTY ACADEMY","JERSEY CITY","NJ","Proprietary 2 Year","64","249876"
"264300","UNION COUNTY COLLEGE","CRANFORD","NJ","Public 2 Year","6569","22722676"
"2232500","UNION COUNTY VOCATIONAL TECH INST","SCOTCH PLAINS","NJ","Public 2 Year","68","231368"
"1039400","UNIV OF MEDICINE & DENTISTRY OF NJ","NEWARK","NJ","Public 4 Year","184","626274"
"2503900","WARREN COUNTY COMMUNITY COLLEGE","WASHINGTON","NJ","Public 2 Year","755","2409633"
"262500","WILLIAM PATERSON UNIVERSITY","WAYNE","NJ","Public 4 Year","4309","17262318"
"4192400","YESHIVA GEDOLAH ZICHRON LEYMA","LINDEN","NJ","Private 4 Year","16","57925"
"4131100","YESHIVA TORAS CHAIM","LAKEWOOD","NJ","Private 4 Year","121","630800"
"4123400","YESHIVAS BE'ER YITZCHOK","ELIZABETH","NJ","Private 4 Year","52","250539"
"4174500","AVEDA INSTITUTE OF NEW MEXICO (THE)","ALBUQUERQUE","NM","Proprietary 2 Year","106","372090"
"474200","CENTRAL NEW MEXICO COMMUNITY COLLEGE","ALBUQUERQUE","NM","Public 2 Year","14626","36534081"
"474300","CLOVIS COMMUNITY COLLEGE","CLOVIS","NM","Public 2 Year","1339","4133871"
"1063200","DEWOLFF CLG HAIRSTYLING/COSMETOLOGY","ALBUQUERQUE","NM","Proprietary 2 Year","125","463992"
"265100","EASTERN NEW MEXICO UNIV PORTALES","PORTALES","NM","Public 4 Year","2452","9405691"
"265101","EASTERN NEW MEXICO UNIV-ROSWELL CAM","ROSWELL","NM","Public 4 Year","1679","5895288"
"2146400","INSTITUTE OF AMERICAN INDIAN ARTS","SANTA FE","NM","Public 4 Year","228","1001153"
"996200","LUNA COMMUNITY COLLEGE","LAS VEGAS","NM","Public 2 Year","709","2665025"
"3944300","MASSAGE THERAPY TRAINING INSTITUTE","LAS CRUCES","NM","Proprietary 2 Year","37","129260"
"3206300","MESALANDS COMMUNITY COLLEGE","TUCUMCARI","NM","Public 2 Year","272","1018567"
"2357600","NAVAJO TECHNICAL COLLEGE","CROWNPOINT","NM","Public 4 Year","1316","5544506"
"265300","NEW MEXICO HIGHLANDS UNIVERSITY","LAS VEGAS","NM","Public 4 Year","1435","5652501"
"265400","NEW MEXICO INST OF MINING & TECH","SOCORRO","NM","Public 4 Year","407","1678063"
"265500","NEW MEXICO JUNIOR COLLEGE","HOBBS","NM","Public 2 Year","924","3299666"
"265600","NEW MEXICO MILITARY INSTITUTE","ROSWELL","NM","Public 2 Year","189","737711"
"265700","NEW MEXICO STATE UNIVERSITY","LAS CRUCES","NM","Public 4 Year","14376","55489512"
"2083900","NORTHERN NEW MEXICO COLLEGE","EL RITO","NM","Public 4 Year","1065","3959900"
"1300500","OLYMPIAN UNIVERSITY OF COSMETOLOGY","ALAMOGORDO","NM","Proprietary 2 Year","1564","5329652"
"3678300","PIMA MEDICAL INSTITUTE","ALBURQUERQUE","NM","Proprietary 2 Year","35","104293"
"266000","SAN JUAN COLLEGE","FARMINGTON","NM","Public 2 Year","3622","12953087"
"2278100","SANTA FE COMMUNITY COLLEGE","SANTA FE","NM","Public 2 Year","2156","7603250"
"264900","SANTA FE UNIVERSITY OF ART AND DESIGN","SANTA FE","NM","Proprietary 4 Year","220","897356"
"2511000","SOUTHWESTERN INDIAN POLYTECH INST","ALBUQUERQUE","NM","Public 2 Year","436","1279658"
"209300","ST JOHN'S COLLEGE","SANTA FE","NM","Private 4 Year","128","577461"
"266300","THE UNIVERSITY OF NEW MEXICO","ALBUQUERQUE","NM","Public 4 Year","14976","57835238"
"4162400","TONI AND GUY HAIR ACADEMY","ALBUQUERQUE","NM","Proprietary 2 Year","88","361168"
"3430300","UNIVERSAL THERAPEUTIC MASSAGE INSTITUTE","ALBUQUERQUE","NM","Proprietary 2 Year","72","254146"
"265000","UNIVERSITY OF THE SOUTHWEST","HOBBS","NM","Private 4 Year","226","911708"
"4178500","VOGUE COLLEGE OF COSMETOLOGY","SANTA FE","NM","Proprietary 2 Year","33","126470"
"266400","WESTERN NEW MEXICO UNIVERSITY","SILVER CITY","NM","Public 4 Year","1571","6284911"
"1323200","ACADEMY OF HAIR DESIGN","LAS VEGAS","NV","Proprietary 2 Year","151","552392"
"4171000","ADVANCED TRAINING INSTITUTE","LAS VEGAS","NV","Proprietary 2 Year","227","662691"
"4190300","AMERICAN INSTITUTE OF MEDICAL SONOGRAPHY","LAS VEGAS","NV","Proprietary 2 Year","12","48275"
"4147600","AVEDA INSTITUTE LAS VEGAS","LAS VEGAS","NV","Proprietary 2 Year","94","332874"
"2621500","CAREER COLLEGE OF NORTHERN NEVADA","SPARKS","NV","Proprietary 2 Year","681","2142867"
"3088200","CARSON CITY BEAUTY ACADEMY","CARSON CITY","NV","Proprietary 2 Year","113","458446"
"1036200","COLLEGE OF SOUTHERN NEVADA","LAS VEGAS","NV","Public 4 Year","15816","44098186"
"4191100","DESTINATION ACADEMY FOR SPA AND SALON PR","LAS VEGAS","NV","Proprietary 2 Year","18","68500"
"2237500","EVEREST COLLEGE","LAS VEGAS","NV","Proprietary 2 Year","1094","3575178"
"3787300","EXPERTISE SCHOOL OF BEAUTY","LAS VEGAS","NV","Private 2 Year","196","788950"
"697700","GREAT BASIN COLLEGE","ELKO","NV","Public 4 Year","887","2872292"
"3975300","INSTITUTE OF PROFESSIONAL CAREERS","LAS VEGAS","NV","Proprietary 2 Year","12","40440"
"4144800","INTERNATIONAL ACADEMY OF STYLE","RENO","NV","Proprietary 2 Year","93","407434"
"3043200","KAPLAN COLLEGE","LAS VEGAS","NV","Proprietary 2 Year","929","3201113"
"737100","MARINELLO SCHOOL OF BEAUTY","RENO","NV","Proprietary 2 Year","390","1347392"
"736700","MARINELLO SCHOOLS OF BEAUTY","LAS VEGAS","NV","Proprietary 2 Year","472","1634491"
"4114300","NEVADA STATE COLLEGE","HENDERSON","NV","Public 4 Year","1261","4577011"
"3838500","NORTHWEST HEALTH CAREERS","LAS VEGAS","NV","Proprietary 2 Year","240","831702"
"4186300","PAUL MITCHELL THE SCHOOL LAS VEGAS","LAS VEGAS","NV","Proprietary 2 Year","144","571394"
"4203100","PAUL MITCHELL THE SCHOOL RENO","RENO","NV","Proprietary 2 Year","127","448418"
"919200","SIERRA NEVADA COLLEGE","INCLINE VILLAGE","NV","Private 4 Year","243","981544"
"2107700","TRUCKEE MEADOWS COMMUNITY CLG","RENO","NV","Public 2 Year","5291","15021742"
"256800","UNIVERSITY OF NEVADA RENO","RENO","NV","Public 4 Year","4225","16102600"
"256900","UNIVERSITY OF NEVADA-LAS VEGAS","LAS VEGAS","NV","Public 4 Year","7718","30268755"
"4065300","UNIVERSITY OF SOUTHERN NEVADA","HENDERSON","NV","Private 4 Year","77","321099"
"1036300","WESTERN NEVADA COLLEGE","CARSON CITY","NV","Public 4 Year","2059","6220069"
"4156000","ACADEMY OF COSMETOLOGY & ESTHETICS NYC (","STATEN ISLAND","NY","Proprietary 2 Year","100","380485"
"4157500","ACCESS CAREERS","BROOKLYN","NY","Proprietary 2 Year","18","48765"
"4043300","ACE COMPUTER TRAINING CENTER","FOREST HILLS","NY","Proprietary 2 Year","67","259126"
"266600","ADELPHI UNIVERSITY","GARDEN CITY","NY","Private 4 Year","1534","6247531"
"3103700","ADIRONDACK BEAUTY SCHOOL","GLEN FALLS","NY","Proprietary 2 Year","19","79600"
"286000","ADIRONDACK COMMUNITY COLLEGE","QUEENSBURY","NY","Public 2 Year","1794","6225267"
"4204300","AESTHETIC SCIENCE INSTITUTE (THE)","LATHAM","NY","Proprietary 2 Year","8","19264"
"2171900","AILEY SCHOOL (THE)","NEW YORK","NY","Private 2 Year","31","134528"
"288500","ALBANY COLLEGE OF PHARMACY AND HEALTH SC","ALBANY","NY","Private 4 Year","234","950458"
