"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"291300","CAMPBELL UNIVERSITY","BUIES CREEK","NC","Private - 4 Year","6936598","1811"
"291400","CATAWBA COLLEGE","SALISBURY","NC","Private - 4 Year","2347917","590"
"291500","CENTRAL PIEDMONT COMMUNITY COLLEGE","CHARLOTTE","NC","Public - 2 Year","35152164","11188"
"291600","CHOWAN UNIVERSITY","MURFREESBORO","NC","Private - 4 Year","3883827","895"
"291700","COLLEGE OF THE ALBEMARLE","ELIZABETH CITY","NC","Public - 2 Year","4125039","1238"
"291800","DAVIDSON COLLEGE","DAVIDSON","NC","Private - 4 Year","940094","234"
"291900","DAVIDSON COUNTY COMMUNITY COLLEGE","LEXINGTON","NC","Public - 2 Year","9942868","3016"
"292000","DUKE UNIVERSITY","DURHAM","NC","Private - 4 Year","3991759","953"
"292300","EAST CAROLINA UNIVERSITY","GREENVILLE","NC","Public - 4 Year","28838383","7147"
"292600","ELIZABETH CITY STATE UNIVERSITY","ELIZABETH CITY","NC","Public - 4 Year","9019944","2044"
"292700","ELON UNIVERSITY","ELON","NC","Private - 4 Year","1975860","495"
"292800","FAYETTEVILLE STATE UNIVERSITY","FAYETTEVILLE","NC","Public - 4 Year","13840200","3377"
"292900","GARDNER-WEBB UNIVERSITY","BOILING SPRINGS","NC","Private - 4 Year","5076128","1297"
"293000","GREENSBORO COLLEGE","GREENSBORO","NC","Private - 4 Year","1898279","457"
"293100","GUILFORD COLLEGE","GREENSBORO","NC","Private - 4 Year","4684761","1201"
"293300","HIGH POINT UNIVERSITY","HIGH POINT","NC","Private - 4 Year","1995187","513"
"293400","ISOTHERMAL COMMUNITY COLLEGE","SPINDALE","NC","Public - 2 Year","5900627","1721"
"293600","JOHNSON C SMITH UNIVERSITY","CHARLOTTE","NC","Private - 4 Year","5587114","1271"
"293700","KING'S COLLEGE-CHARLOTTE","CHARLOTTE","NC","Proprietary - 2 Year","1964233","478"
"293900","LEES MCRAE COLLEGE","BANNER ELK","NC","Private - 4 Year","1686103","402"
"294000","LENOIR COMMUNITY COLLEGE","KINSTON","NC","Public - 2 Year","6704990","1890"
"294100","LENOIR-RHYNE UNIVERSITY","HICKORY","NC","Private - 4 Year","2931800","714"
"294200","LIVINGSTONE COLLEGE","SALISBURY","NC","Private - 4 Year","4423759","960"
"294300","LOUISBURG COLLEGE","LOUISBURG","NC","Private - 2 Year","2390718","555"
"294400","MARS HILL COLLEGE","MARS HILL","NC","Private - 4 Year","3231532","802"
"294500","MEREDITH COLLEGE","RALEIGH","NC","Private - 4 Year","2471543","597"
"294600","METHODIST UNIVERSITY","FAYETTEVILLE","NC","Private - 4 Year","3556593","937"
"294700","MITCHELL COMMUNITY COLLEGE","STATESVILLE","NC","Public - 2 Year","6540993","2014"
"294800","MONTREAT COLLEGE","MONTREAT","NC","Private - 4 Year","1366115","357"
"294900","MOUNT OLIVE COLLEGE","MOUNT OLIVE","NC","Private - 4 Year","7600450","2214"
"295000","NORTH CAROLINA CENTRAL UNIVERSITY","DURHAM","NC","Public - 4 Year","19480430","4482"
"295100","NORTH CAROLINA WESLEYAN COLLEGE","ROCKY MOUNT","NC","Private - 4 Year","3888435","995"
"295300","PEACE COLLEGE","RALEIGH","NC","Private - 4 Year","2114182","506"
"295400","UNIV OF NORTH CAROLINA AT PEMBROKE","PEMBROKE","NC","Public - 4 Year","12719592","3164"
"295500","PFEIFFER UNIVERSITY","MISENHEIMER","NC","Private - 4 Year","1861736","475"
"295600","PIEDMONT BAPTIST COLLEGE AND GRADUATE SC","WINSTON SALEM","NC","Private - 4 Year","536489","143"
"295700","QUEENS UNIVERSITY OF CHARLOTTE","CHARLOTTE","NC","Private - 4 Year","2410007","661"
"295800","ROCKINGHAM COMMUNITY COLLEGE","WENTWORTH","NC","Public - 2 Year","4020846","1277"
"296000","SALEM COLLEGE","WINSTON-SALEM","NC","Private - 4 Year","2519566","621"
"296100","SANDHILLS COMMUNITY COLLEGE","PINEHURST","NC","Public - 2 Year","7598812","2328"
"296200","SHAW UNIVERSITY","RALEIGH","NC","Private - 4 Year","7588848","1764"
"296400","SOUTHEASTERN COMMUNITY COLLEGE","WHITEVILLE","NC","Public - 2 Year","4309549","1270"
"296800","ST AUGUSTINES COLLEGE","RALEIGH","NC","Private - 4 Year","5238980","1155"
"297000","SURRY COMMUNITY COLLEGE","DOBSON","NC","Public - 2 Year","6101152","1761"
"297200","NORTH CAROLINA STATE UNIV-RALEIGH","RALEIGH","NC","Public - 4 Year","22727294","5755"
"297300","GASTON COLLEGE","DALLAS","NC","Public - 2 Year","12165825","3512"
"297400","UNIVERSITY OF N C-CHAPEL HILL","CHAPEL HILL","NC","Public - 4 Year","15910518","3850"
"297500","UNIVERSITY OF NC AT CHARLOTTE","CHARLOTTE","NC","Public - 4 Year","36539473","9212"
"297600","UNIVERSITY OF N C - GREENSBORO","GREENSBORO","NC","Public - 4 Year","28260908","6994"
"297800","WAKE FOREST UNIV - UNDERGRADUATE","WINSTON-SALEM","NC","Private - 4 Year","2334176","558"
"297900","WARREN WILSON COLLEGE","ASHEVILLE","NC","Private - 4 Year","1179833","292"
"298100","WESTERN CAROLINA UNIVERSITY","CULLOWHEE","NC","Public - 4 Year","13276673","3309"
"298200","WESTERN PIEDMONT COMMUNITY COLLEGE","MORGANTON","NC","Public - 2 Year","6730652","1910"
"298300","WILKES COMMUNITY COLLEGE","WILKESBORO","NC","Public - 2 Year","6200620","1720"
"298400","UNIVERSITY OF N C-WILMINGTON","WILMINGTON","NC","Public - 4 Year","14636875","3715"
"298500","WINGATE UNIVERSITY","WINGATE","NC","Private - 4 Year","2775982","682"
"298600","WINSTON-SALEM STATE UNIVERSITY","WINSTON-SALEM","NC","Public - 4 Year","13655704","3171"
"298800","BISMARCK STATE COLLEGE","BISMARCK","ND","Public - 4 Year","3857358","1133"
"298900","DICKINSON STATE UNIVERSITY","DICKINSON","ND","Public - 4 Year","1681269","457"
"299000","JAMESTOWN COLLEGE","JAMESTOWN","ND","Private - 4 Year","1030336","264"
"299100","LAKE REGION STATE COLLEGE","DEVILS LAKE","ND","Public - 2 Year","1332486","378"
"299200","UNIVERSITY OF MARY","BISMARCK","ND","Private - 4 Year","2096958","566"
"299300","MAYVILLE STATE UNIVERSITY","MAYVILLE","ND","Public - 4 Year","1201117","317"
"299400","MINOT STATE UNIVERSITY","MINOT","ND","Public - 4 Year","3061076","848"
"299500","DAKOTA COLLEGE AT BOTTINEAU","BOTTINEAU","ND","Public - 2 Year","1002067","271"
"299600","NORTH DAKOTA STATE CLG OF SCIENCE","WAHPETON","ND","Public - 2 Year","3502169","973"
"299700","NORTH DAKOTA STATE UNIVERSITY","FARGO","ND","Public - 4 Year","10368455","2836"
"300500","UNIVERSITY OF NORTH DAKOTA","GRAND FORKS","ND","Public - 4 Year","9553234","2599"
"300700","WILLISTON STATE COLLEGE","WILLISTON","ND","Public - 2 Year","735472","211"
"300800","VALLEY CITY STATE UNIVERSITY","VALLEY CITY","ND","Public - 4 Year","1281239","342"
"301000","ANTIOCH UNIVERSITY","YELLOW SPRINGS","OH","Private - 4 Year","1217250","403"
"301100","ART ACADEMY OF CINCINNATI","CINCINNATI","OH","Private - 4 Year","343753","84"
"301200","ASHLAND UNIVERSITY","ASHLAND","OH","Private - 4 Year","3518781","905"
"301400","BALDWIN-WALLACE COLLEGE","BEREA","OH","Private - 4 Year","4922698","1281"
"301600","BLUFFTON UNIVERSITY","BLUFFTON","OH","Private - 4 Year","1659963","454"
"301800","BOWLING GREEN STATE UNIVERSITY","BOWLING GREEN","OH","Public - 4 Year","25743039","6680"
"302300","CAPITAL UNIVERSITY","COLUMBUS","OH","Private - 4 Year","3265949","859"
"302500","CEDARVILLE UNIVERSITY","CEDARVILLE","OH","Private - 4 Year","2561307","685"
"302600","CENTRAL STATE UNIVERSITY","WILBERFORCE","OH","Public - 4 Year","7661079","1723"
"302900","CINCINNATI CHRISTIAN UNIVERSITY","CINCINNATI","OH","Private - 4 Year","1272338","353"
"303000","OHIO CHRISTIAN UNIVERSITY","CIRCLEVILLE","OH","Private - 4 Year","8630136","2751"
"303100","CLEVELAND INSTITUTE OF MUSIC","CLEVELAND","OH","Private - 4 Year","173515","40"
"303200","CLEVELAND STATE UNIVERSITY","CLEVELAND","OH","Public - 4 Year","21683537","5498"
"303300","COLLEGE OF MT ST JOSEPH","CINCINNATI","OH","Private - 4 Year","2448346","656"
"303500","OHIO DOMINICAN UNIVERSITY","COLUMBUS","OH","Private - 4 Year","3289991","856"
"303600","FRANCISCAN UNIV OF STEUBENVILLE","STEUBENVILLE","OH","Private - 4 Year","2209459","577"
"303700","COLLEGE OF WOOSTER","WOOSTER","OH","Private - 4 Year","1622166","404"
"303900","COLUMBUS COLLEGE OF ART AND DESIGN","COLUMBUS","OH","Private - 4 Year","2212718","546"
"304000","CUYAHOGA COMMUNITY COLLEGE","CLEVELAND","OH","Public - 2 Year","55412692","17630"
"304100","DEFIANCE COLLEGE, THE","DEFIANCE","OH","Private - 4 Year","1728947","454"
"304200","DENISON UNIVERSITY","GRANVILLE","OH","Private - 4 Year","1825881","427"
"304300","CHANCELLOR UNIVERSITY","CLEVELAND","OH","Proprietary - 4 Year","405485","138"
"304500","UNIVERSITY OF FINDLAY","FINDLAY","OH","Private - 4 Year","3181752","822"
"304600","FRANKLIN UNIVERSITY","COLUMBUS","OH","Private - 4 Year","10686304","3523"
"304800","HEIDELBERG UNIVERSITY","TIFFIN","OH","Private - 4 Year","1889888","489"
"304900","HIRAM COLLEGE","HIRAM","OH","Private - 4 Year","2200396","551"
"305000","JOHN CARROLL UNIVERSITY","UNIVERSITY HEIGHTS","OH","Private - 4 Year","3295866","818"
"305100","KENT STATE UNIVERSITY","KENT","OH","Public - 4 Year","62294239","16984"
"306500","KENYON COLLEGE","GAMBIER","OH","Private - 4 Year","710353","171"
"306600","LAKE ERIE COLLEGE","PAINESVILLE","OH","Private - 4 Year","1544310","392"
"306800","LORAIN COUNTY COMMUNITY COLLEGE","ELYRIA","OH","Public - 2 Year","20387745","6871"
"306900","LOURDES COLLEGE","SYLVANIA","OH","Private - 4 Year","4329742","1179"
"307200","MALONE UNIVERSITY","CANTON","OH","Private - 4 Year","3092255","853"
"307300","MARIETTA COLLEGE","MARIETTA","OH","Private - 4 Year","1760049","440"
"307700","MIAMI UNIVERSITY","OXFORD","OH","Public - 4 Year","21090893","5555"
"307800","WRIGHT STATE UNIVERSITY","DAYTON","OH","Public - 4 Year","24250428","6206"
"308300","UNIVERSITY OF MOUNT UNION","ALLIANCE","OH","Private - 4 Year","2688363","696"
"308400","MUSKINGUM UNIVERSITY","NEW CONCORD","OH","Private - 4 Year","2887180","759"
"308500","NOTRE DAME COLLEGE OF OHIO","CLEVELAND","OH","Private - 4 Year","2740628","717"
"308600","OBERLIN COLLEGE","OBERLIN","OH","Private - 4 Year","1357305","345"
"308900","OHIO NORTHERN UNIVERSITY","ADA","OH","Private - 4 Year","2660922","680"
"309000","OHIO STATE UNIVERSITY-ALL CAMPUSES","COLUMBUS","OH","Public - 4 Year","52762272","13549"
"310000","OHIO UNIVERSITY","ATHENS","OH","Public - 4 Year","41969100","11255"
"310900","OHIO WESLEYAN UNIVERSITY","DELAWARE","OH","Private - 4 Year","1683999","404"
"311000","OTTERBEIN UNIVERSITY","WESTERVILLE","OH","Private - 4 Year","2953501","750"
"311300","PONTIFICAL COLLEGE JOSEPHINUM","COLUMBUS","OH","Private - 4 Year","73850","17"
"311400","FIRELANDS REGIONAL MEDICAL CENTER - SOUT","SANDUSKY","OH","Private - 2 Year","213497","55"
"311500","RABBINICAL COLLEGE OF TELSHE","WICKLIFFE","OH","Private - 4 Year","172025","35"
"311600","UNIV OF RIO GRANDE","RIO GRANDE","OH","Private - 4 Year","7379734","1892"
"311900","SINCLAIR COMMUNITY COLLEGE","DAYTON","OH","Public - 2 Year","37037858","11781"
"312100","TIFFIN UNIVERSITY","TIFFIN","OH","Private - 4 Year","16431198","4623"
"312300","UNIVERSITY OF AKRON","AKRON","OH","Public - 4 Year","38864750","10845"
"312500","UNIVERSITY OF CINCINNATI","CINCINNATI","OH","Public - 4 Year","39118930","10887"
"312700","UNIVERSITY OF DAYTON","DAYTON","OH","Private - 4 Year","3646808","959"
"313100","UNIVERSITY OF TOLEDO","TOLEDO","OH","Public - 4 Year","25959787","6881"
"313300","URBANA UNIVERSITY","URBANA","OH","Private - 4 Year","2232777","579"
"313400","URSULINE COLLEGE","PEPPER PIKE","OH","Private - 4 Year","1543891","404"
"313500","WALSH UNIVERSITY","NORTH CANTON","OH","Private - 4 Year","3037375","811"
"302400","CASE WESTERN RESERVE UNIV","CLEVELAND","OH","Private - 4 Year","3541742","887"
"314100","WILBERFORCE UNIVERSITY","WILBERFORCE","OH","Private - 4 Year","1980071","446"
"314200","WILMINGTON COLLEGE","WILMINGTON","OH","Private - 4 Year","2345758","616"
"314300","WITTENBERG UNIVERSITY","SPRINGFIELD","OH","Private - 4 Year","2046229","501"
"314400","XAVIER UNIVERSITY","CINCINNATI","OH","Private - 4 Year","3261151","858"
"314500","YOUNGSTOWN STATE UNIVERSITY","YOUNGSTOWN","OH","Public - 4 Year","25903827","6965"
"314600","WESTERN OKLAHOMA STATE COLLEGE","ALTUS","OK","Public - 2 Year","2587199","793"
"314700","BACONE COLLEGE","MUSKOGEE","OK","Private - 4 Year","3048730","750"
"314900","SOUTHERN NAZARENE UNIVERSITY","BETHANY","OK","Private - 4 Year","3146762","867"
"315000","CAMERON UNIVERSITY","LAWTON","OK","Public - 4 Year","11223899","3133"
"315100","OKLAHOMA WESLEYAN UNIVERSITY","BARTLESVILLE","OK","Private - 4 Year","1615323","539"
"315200","UNIV OF CENTRAL OKLAHOMA","EDMOND","OK","Public - 4 Year","21788504","5788"
"315300","CONNORS STATE COLLEGE","WARNER","OK","Public - 2 Year","5913927","1629"
"315400","EAST CENTRAL UNIVERSITY","ADA","OK","Public - 4 Year","8173590","2049"
"315500","EASTERN OKLAHOMA STATE COLLEGE","WILBURTON","OK","Public - 2 Year","4807823","1286"
"315600","REDLANDS COMMUNITY COLLEGE","EL RENO","OK","Public - 2 Year","3085321","988"
"315700","LANGSTON UNIVERSITY","LANGSTON","OK","Public - 4 Year","6478245","1505"
"315800","MURRAY STATE COLLEGE","TISHOMINGO","OK","Public - 2 Year","5511699","1570"
"316000","NORTHEASTERN OKLAHOMA A & M COLLEGE","MIAMI","OK","Public - 2 Year","6174660","1657"
"316100","NORTHEASTERN STATE UNIVERSITY","TAHLEQUAH","OK","Public - 4 Year","15769166","4049"
"316200","NORTHERN OKLAHOMA COLLEGE","TONKAWA","OK","Public - 2 Year","8494097","2418"
"316300","NORTHWESTERN OKLAHOMA STATE UNIV","ALVA","OK","Public - 4 Year","3767894","966"
"316400","OKLAHOMA BAPTIST UNIVERSITY","SHAWNEE","OK","Private - 4 Year","2684700","670"
"316500","OKLAHOMA CHRISTIAN UNIVERSITY","OKLAHOMA CITY","OK","Private - 4 Year","2171027","554"
"316600","OKLAHOMA CITY UNIVERSITY","OKLAHOMA CITY","OK","Private - 4 Year","1692161","437"
"316700","UNIV OF SCIENCE & ARTS OF OKLAHOMA","CHICKASHA","OK","Public - 4 Year","2008915","493"
"316800","ROGERS STATE UNIVERSITY","CLAREMORE","OK","Public - 4 Year","8972865","2505"
"317000","OKLAHOMA STATE UNIVERSITY","STILLWATER","OK","Public - 4 Year","24332182","6174"
"317200","OKLAHOMA STATE UNIVERSITY-OKMULGEE","OKMULGEE","OK","Public - 4 Year","5593649","1709"
"317400","OKLAHOMA PANHANDLE STATE UNIVERSITY","GOODWELL","OK","Public - 4 Year","2458012","634"
"317600","CARL ALBERT STATE COLLEGE","POTEAU","OK","Public - 2 Year","6709041","1791"
"317800","SEMINOLE STATE COLLEGE","SEMINOLE","OK","Public - 2 Year","3996612","1121"
"317900","SOUTHEASTERN OKLAHOMA STATE UNIV","DURANT","OK","Public - 4 Year","7518197","1939"
"318000","SOUTHWESTERN CHRISTIAN UNIVERSITY","BETHANY","OK","Private - 4 Year","1864249","511"
"318100","SOUTHWESTERN OKLAHOMA STATE UNIV","WEATHERFORD","OK","Public - 4 Year","7083885","1847"
"318300","ST GREGORY'S UNIVERSITY","SHAWNEE","OK","Private - 4 Year","1187536","310"
"318400","UNIVERSITY OF OKLAHOMA","NORMAN","OK","Public - 4 Year","22931004","5860"
"318500","UNIVERSITY OF TULSA","TULSA","OK","Private - 4 Year","2038689","505"
"318600","BLUE MOUNTAIN COMMUNITY COLLEGE","PENDLETON","OR","Public - 2 Year","4146240","1252"
"318800","CENTRAL OREGON COMMUNITY COLLEGE","BEND","OR","Public - 2 Year","15600804","4773"
"318900","CLATSOP COMMUNITY COLLEGE","ASTORIA","OR","Public - 2 Year","2635855","777"
"319100","CONCORDIA UNIVERSITY","PORTLAND","OR","Private - 4 Year","2585927","653"
"319300","EASTERN OREGON UNIVERSITY","LA GRANDE","OR","Public - 4 Year","8203899","2180"
"319400","GEORGE FOX UNIVERSITY","NEWBERG","OR","Private - 4 Year","3240049","829"
"319600","LANE COMMUNITY COLLEGE","EUGENE","OR","Public - 2 Year","31089672","9166"
"319700","LEWIS & CLARK COLLEGE","PORTLAND","OR","Private - 4 Year","1868678","450"
"319800","LINFIELD COLLEGE","MCMINNVILLE","OR","Private - 4 Year","2769756","755"
"319900","MARYLHURST UNIVERSITY","MARYLHURST","OR","Private - 4 Year","1377219","400"
"320300","MOUNT ANGEL SEMINARY","ST BENEDICT","OR","Private - 4 Year","76508","19"
"320400","MOUNT HOOD COMMUNITY COLLEGE","GRESHAM","OR","Public - 2 Year","19635930","5879"
"320600","MULTNOMAH BIBLE COLLEGE/SEMINARY","PORTLAND","OR","Private - 4 Year","1142773","308"
"320700","PACIFIC NORTHWEST COLLEGE OF ART","PORTLAND","OR","Private - 4 Year","960940","237"
"320800","NORTHWEST CHRISTIAN UNIVERSITY","EUGENE","OR","Private - 4 Year","987426","265"
"320900","WESTERN OREGON UNIVERSITY","MONMOUTH","OR","Public - 4 Year","10319812","2483"
"321000","OREGON STATE UNIVERSITY","CORVALLIS","OR","Public - 4 Year","32096542","8214"
"321100","OREGON INSTITUTE OF TECHNOLOGY","KLAMATH FALLS","OR","Public - 4 Year","5870929","1458"
"321200","PACIFIC UNIVERSITY","FOREST GROVE","OR","Private - 4 Year","2233290","543"
"321300","PORTLAND COMMUNITY COLLEGE","PORTLAND","OR","Public - 2 Year","64109927","19855"
"321600","PORTLAND STATE UNIVERSITY","PORTLAND","OR","Public - 4 Year","40190464","10317"
"321700","REED COLLEGE","PORTLAND","OR","Private - 4 Year","1107610","264"
"321800","CHEMEKETA COMMUNITY COLLEGE","SALEM","OR","Public - 2 Year","27475266","8040"
"321900","SOUTHERN OREGON UNIVERSITY","ASHLAND","OR","Public - 4 Year","9394587","2318"
"322000","SOUTHWESTERN OREGON COMMUNITY CLG","COOS BAY","OR","Public - 2 Year","3786658","1093"
"322100","TREASURE VALLEY COMMUNITY COLLEGE","ONTARIO","OR","Public - 2 Year","7478471","2335"
"322200","UMPQUA COMMUNITY COLLEGE","ROSEBURG","OR","Public - 2 Year","6485096","1932"
"322300","UNIVERSITY OF OREGON","EUGENE","OR","Public - 4 Year","22122476","5465"
"322400","UNIVERSITY OF PORTLAND","PORTLAND","OR","Private - 4 Year","3189546","806"
"322500","WARNER PACIFIC COLLEGE","PORTLAND","OR","Private - 4 Year","4140336","1063"
"322700","WILLAMETTE UNIVERSITY","SALEM","OR","Private - 4 Year","1792516","441"
"322800","BRYN ATHYN COLLEGE OF THE NEW CHURCH","BRYN ATHYN","PA","Private - 4 Year","340918","86"
"322900","ALBRIGHT COLLEGE","READING","PA","Private - 4 Year","3723718","936"
"323000","ALLEGHENY COLLEGE","MEADVILLE","PA","Private - 4 Year","2299240","566"
"323100","COMM CLG OF ALLEGHENY-ALLEGHENY CMP","PITTSBURGH","PA","Public - 2 Year","31021154","10171"
"323300","ALVERNIA UNIVERSITY","READING","PA","Private - 4 Year","3457566","894"
"323500","ARCADIA UNIVERSITY","GLENSIDE","PA","Private - 4 Year","3251958","818"
"323700","BRYN MAWR COLLEGE","BRYN MAWR","PA","Private - 4 Year","1183708","271"
"323800","BUCKNELL UNIVERSITY","LEWISBURG","PA","Private - 4 Year","1540204","374"
"323900","BUCKS COUNTY COMMUNITY COLLEGE","NEWTOWN","PA","Public - 2 Year","8525375","2747"
"324000","BUTLER COUNTY COMMUNITY COLLEGE","BUTLER","PA","Public - 2 Year","5642899","1715"
"324100","CABRINI COLLEGE","RADNOR","PA","Private - 4 Year","1924496","478"
"324200","CARNEGIE MELLON UNIVERSITY","PITTSBURGH","PA","Private - 4 Year","3426984","810"
"324300","CEDAR CREST COLLEGE","ALLENTOWN","PA","Private - 4 Year","2343343","663"
"324400","CHATHAM UNIVERSITY","PITTSBURGH","PA","Private - 4 Year","1248575","317"
"324500","CHESTNUT HILL COLLEGE","PHILADELPHIA","PA","Private - 4 Year","3249368","823"
"324700","MISERICORDIA  UNIVERSITY","DALLAS","PA","Private - 4 Year","2782788","766"
"324900","COMMUNITY COLLEGE OF PHILADELPHIA","PHILADELPHIA","PA","Public - 2 Year","45952267","15077"
"325100","CURTIS INSTITUTE OF MUSIC","PHILADELPHIA","PA","Private - 4 Year","97400","20"
"325200","DELAWARE VALLEY COLLEGE","DOYLESTOWN","PA","Private - 4 Year","2110066","539"
"325300","DICKINSON COLLEGE","CARLISLE","PA","Private - 4 Year","1193286","293"
"325600","DREXEL UNIVERSITY","PHILADELPHIA","PA","Private - 4 Year","12689250","3420"
"325800","DUQUESNE UNIVERSITY","PITTSBURGH","PA","Private - 4 Year","4969037","1300"
"325900","EASTERN UNIVERSITY","ST DAVIDS","PA","Private - 4 Year","4491766","1200"
"326200","ELIZABETHTOWN COLLEGE","ELIZABETHTOWN","PA","Private - 4 Year","2112120","588"
"326500","FRANKLIN & MARSHALL COLLEGE","LANCASTER","PA","Private - 4 Year","1534410","361"
"326600","GANNON UNIVERSITY","ERIE","PA","Private - 4 Year","3693452","943"
"326700","GENEVA COLLEGE","BEAVER FALLS","PA","Private - 4 Year","2473765","671"
"326800","GETTYSBURG COLLEGE","GETTYSBURG","PA","Private - 4 Year","1402679","360"
"327000","GWYNEDD-MERCY COLLEGE","GWYNEDD VALLEY","PA","Private - 4 Year","3122922","800"
"327200","HARCUM COLLEGE","BRYN MAWR","PA","Private - 2 Year","4118452","1078"
"327300","HARRISBURG AREA COMMUNITY COLLEGE","HARRISBURG","PA","Public - 2 Year","33596831","11568"
"327400","HAVERFORD COLLEGE","HAVERFORD","PA","Private - 4 Year","800877","187"
"327500","HOLY FAMILY UNIVERSITY","PHILADELPHIA","PA","Private - 4 Year","3029913","813"
"327600","IMMACULATA UNIVERSITY","IMMACULATA","PA","Private - 4 Year","2269750","646"
"327700","INDIANA UNIVERSITY OF PENNSYLVANIA","INDIANA","PA","Public - 4 Year","19570354","5062"
"327900","JUNIATA COLLEGE","HUNTINGDON","PA","Private - 4 Year","1369035","345"
"328000","KEYSTONE COLLEGE","LA PLUME","PA","Private - 4 Year","3578640","921"
"328200","KINGS COLLEGE","WILKES-BARRE","PA","Private - 4 Year","2714355","689"
"328300","LACKAWANNA COLLEGE","SCRANTON","PA","Private - 2 Year","4083959","1100"
"328400","LAFAYETTE COLLEGE","EASTON","PA","Private - 4 Year","1067944","267"
"328500","LANCASTER BIBLE COLLEGE","LANCASTER","PA","Private - 4 Year","1978269","585"
"328700","LASALLE UNIVERSITY","PHILADELPHIA","PA","Private - 4 Year","6878029","1680"
"328800","LEBANON VALLEY COLLEGE","ANNVILLE","PA","Private - 4 Year","1478017","386"
"328900","LEHIGH UNIVERSITY","BETHLEHEM","PA","Private - 4 Year","2860712","724"
"329000","LINCOLN UNIVERSITY","LINCOLN UNIVERSITY","PA","Public - 4 Year","4922605","1131"
"329300","LYCOMING COLLEGE","WILLIAMSPORT","PA","Private - 4 Year","1777295","446"
"329400","MANOR COLLEGE","JENKINTOWN","PA","Private - 2 Year","2036126","547"
"329600","MARYWOOD UNIVERSITY","SCRANTON","PA","Private - 4 Year","3070294","792"
"329700","MERCYHURST COLLEGE","ERIE","PA","Private - 4 Year","6577891","1798"
"329800","MESSIAH COLLEGE","GRANTHAM","PA","Private - 4 Year","2169229","580"
"330000","MOORE COLLEGE OF ART & DESIGN","PHILADELPHIA","PA","Private - 4 Year","868346","213"
"330100","MORAVIAN COLLEGE","BETHLEHEM","PA","Private - 4 Year","2022404","496"
"330200","MOUNT ALOYSIUS COLLEGE","CRESSON","PA","Private - 4 Year","2937095","792"
"330300","CARLOW UNIVERSITY","PITTSBURGH","PA","Private - 4 Year","2846858","750"
"330400","MUHLENBERG COLLEGE","ALLENTOWN","PA","Private - 4 Year","1088674","279"
"489401","ERIE BUSINESS CENTER - NEW CASTLE CAMPUS","NEW CASTLE","PA","Proprietary - 2 Year","355969","106"
"330600","VALLEY FORGE CHRISTIAN COLLEGE","PHOENIXVILLE","PA","Private - 4 Year","1638999","435"
"330900","PEIRCE COLLEGE","PHILADELPHIA","PA","Private - 4 Year","4852034","1499"
"331300","WIDENER UNIVERSITY","CHESTER","PA","Private - 4 Year","3574415","950"
"331500","BLOOMSBURG UNIVERSITY OF PA","BLOOMSBURG","PA","Public - 4 Year","11573076","2961"
"331600","CALIFORNIA UNIV OF PENNSYLVANIA","CALIFORNIA","PA","Public - 4 Year","10731302","2798"
"331700","CHEYNEY UNIVERSITY OF PENNSYLVANIA","CHEYNEY","PA","Public - 4 Year","4612846","987"
"331800","CLARION UNIVERSITY OF PENNSYLVANIA","CLARION","PA","Public - 4 Year","8684422","2283"
"332000","EAST STROUDSBURG UNIVERSITY","EAST STROUDSBURG","PA","Public - 4 Year","8033455","2068"
"332100","EDINBORO UNIVERSITY OF PENNSYLVANIA","EDINBORO","PA","Public - 4 Year","11444519","2920"
"332200","KUTZTOWN UNIVERSITY OF PENNSYLVANIA","KUTZTOWN","PA","Public - 4 Year","11918902","3014"
"332300","LOCK HAVEN UNIV OF PENNSYLVANIA","LOCK HAVEN","PA","Public - 4 Year","8043068","2094"
"332400","MANSFIELD UNIVERSITY","MANSFIELD","PA","Public - 4 Year","5303006","1353"
"332500","MILLERSVILLE UNIVERSITY OF PA","MILLERSVILLE","PA","Public - 4 Year","9781820","2536"
"332600","SHIPPENSBURG UNIVERSITY","SHIPPENSBURG","PA","Public - 4 Year","8040322","2110"
"332700","SLIPPERY ROCK UNIVERSITY","SLIPPERY ROCK","PA","Public - 4 Year","10201821","2707"
"332800","WEST CHESTER UNIVERSITY","WEST CHESTER","PA","Public - 4 Year","13360305","3459"
"332900","PENN STATE UNIVERSITY","UNIVERSITY PARK","PA","Public - 4 Year","81969212","22175"
"335000","UNIVERSITY OF THE ARTS (THE)","PHILADELPHIA","PA","Private - 4 Year","2718967","646"
"335100","CAIRN UNIVERSITY","LANGHORNE","PA","Private - 4 Year","1715435","451"
"335300","UNIVERSITY OF THE SCIENCES IN PHILADELPH","PHILADELPHIA","PA","Private - 4 Year","2040789","476"
"335400","PHILADELPHIA UNIVERSITY","PHILADELPHIA","PA","Private - 4 Year","3691516","938"
"335700","POINT PARK UNIVERSITY","PITTSBURGH","PA","Private - 4 Year","5170352","1448"
"335900","ROBERT MORRIS UNIVERSITY","MOON TOWNSHIP","PA","Private - 4 Year","5191867","1391"
"336000","ROSEMONT COLLEGE","ROSEMONT","PA","Private - 4 Year","1295096","300"
"336200","SETON HILL UNIVERSITY","GREENSBURG","PA","Private - 4 Year","2449625","622"
"336600","SAINT FRANCIS UNIVERSITY","LORETTO","PA","Private - 4 Year","1916661","503"
