"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"1182000","SAN DIEGO MIRAMAR COLLEGE","SAN DIEGO","CA","Public - 2 Year","8772090","2606"
"2079700","COLLEGE OF HAIR DESIGN","LINCOLN","NE","Proprietary - 2 Year","989851","252"
"864500","EMPIRE BEAUTY SCHOOL","LACONIA","NH","Proprietary - 2 Year","580968","171"
"1054211","EMPIRE BEAUTY SCHOOL - MALDEN","MALDEN","MA","Proprietary - 2 Year","528570","180"
"2077100","MILWAUKEE INST OF ART & DESIGN","MILWAUKEE","WI","Private - 4 Year","1200008","288"
"457900","INTERNATIONAL BUSINESS COLLEGE","FORT WAYNE","IN","Proprietary - 4 Year","2623459","646"
"1027900","HICKEY COLLEGE","ST LOUIS","MO","Proprietary - 4 Year","1412693","367"
"446700","TUCSON COLLEGE","TUCSON","AZ","Proprietary - 2 Year","1442517","385"
"283400","EXCELSIOR COLLEGE","ALBANY","NY","Private - 4 Year","3390122","1559"
"2092500","LAUREL TECHNICAL INSTITUTE","SHARON","PA","Proprietary - 2 Year","1482198","366"
"2100000","POLYTECHNIC UNIVERSITY OF PR","HATO REY","PR","Private - 4 Year","9568772","2732"
"2115400","BRIDGERLAND APPLIED TECHNOLOGY COLLEGE","LOGAN","UT","Public - 2 Year","1062898","324"
"2282300","ALHAMBRA BEAUTY COLLEGE","ALHAMBRA","CA","Proprietary - 2 Year","609663","165"
"2208600","MADERA BEAUTY COLLEGE","MADERA","CA","Proprietary - 2 Year","228452","55"
"2139500","HAWAII INSTITUTE OF HAIR DESIGN","HONOLULU","HI","Proprietary - 2 Year","470606","117"
"2084800","RAVENSCROFT BEAUTY COLLEGE","FORT WAYNE","IN","Proprietary - 2 Year","784919","235"
"1218400","INTERNATIONAL ACAD OF HAIR DESIGN","CHANDLER","AZ","Proprietary - 2 Year","924222","265"
"2092400","RIDLEY-LOWELL SCHOOL OF BUSINESS","BINGHAMTON","NY","Proprietary - 2 Year","822489","246"
"2125600","MICHIGAN COLLEGE OF BEAUTY","TROY","MI","Proprietary - 2 Year","969277","286"
"2118000","LEVITTOWN BEAUTY ACADEMY LLC","LEVITTOWN","PA","Proprietary - 2 Year","205884","68"
"2143700","SINTE GLESKA UNIVERSITY","ROSEBUD","SD","Public - 4 Year","1679652","494"
"2092800","TENNESSEE TECHNOLOGY CENTER AT WHITEVILL","WHITEVILLE","TN","Public - 2 Year","484853","179"
"2081400","ARLINGTON BAPTIST COLLEGE","ARLINGTON","TX","Private - 4 Year","569817","144"
"2242700","BERKELEY CITY COLLEGE","BERKELEY","CA","Public - 2 Year","5114892","1517"
"2107800","UNIVERSITY OF HAWAII - WEST OAHU","PEARL CITY","HI","Public - 4 Year","3051988","814"
"884300","ALASKA BIBLE COLLEGE","GLENNALLEN","AK","Private - 4 Year","61538","15"
"2249900","DELTA BEAUTY COLLEGE","GREENVILLE","MS","Proprietary - 2 Year","304504","81"
"2145100","SCOTT COLLEGE OF COSMETOLOGY","WHEELING","WV","Proprietary - 2 Year","204494","50"
