"OPE_ID","NAME","CITY","STATE","Institution Type & Control","Total Recipients","Total Awards"
"1050700","ACADEMY OF HAIR DESIGN","SALEM","OR","Proprietary 2 Year","72","274727"
"1050900","HALLMARK COLLEGE OF AERONAUTICS","SAN ANTONIO","TX","Private 4 Year","794","3108595"
"1053000","QUINEBAUG VALLEY COMMUNITY COLLEGE","DANIELSON","CT","Public 2 Year","1088","2981005"
"1054200","EMPIRE BEAUTY SCHOOL","WILKES-BARRE","PA","Proprietary 2 Year","1838","6656070"
"1054600","CENTURY COLLEGE","WHITE BEAR LAKE","MN","Public 2 Year","5592","17459269"
"1054900","KEHILATH YAKOV RABBINICAL SEMINARY","OSSINING","NY","Private 4 Year","99","545783"
"1055100","NEW YORK SCH MED & DENTAL ASSISTANT","LONG ISLAND CITY","NY","Proprietary 2 Year","434","1805277"
"1055400","CONCORDIA COLLEGE","SELMA","AL","Private 4 Year","546","2383076"
"1056700","COLEGIO TECNOLOGICO DE SAN JUAN","SAN JUAN","PR","Public 4 Year","1288","5545714"
"1057300","WEST VIRGINIA JUNIOR COLLEGE","CHARLESTON","WV","Proprietary 2 Year","565","2037224"
"1061800","MID-AMERICA CLG FUNERAL SERVICE","JEFFERSONVILLE","IN","Private 4 Year","68","239289"
"1062400","LIGHTHOUSE CAREER INSTITUTE","DALLAS","TX","Private 2 Year","5","14411"
"1062900","P B COSMETOLOGY EDUCATION CENTRE","GLOUCESTER CITY","NJ","Proprietary 2 Year","113","417825"
"1063000","NORTHERN INSTITUTE OF COSMETOLOGY","LORAIN","OH","Proprietary 2 Year","48","172803"
"1063200","DEWOLFF CLG HAIRSTYLING/COSMETOLOGY","ALBUQUERQUE","NM","Proprietary 2 Year","95","393599"
"1064100","SOUTHERN WESTCHESTER BOCES","MAMARONECK","NY","Public 2 Year","93","320878"
"1065200","PASCO-HERNANDO COMMUNITY CLG","NEW PORT RICHEY","FL","Public 4 Year","5770","18931046"
"1068400","ERIE COMMUNITY COLLEGE-ALL CAMPUSES","BUFFALO","NY","Public 2 Year","6983","26169992"
"194901","WASHBURN INSTITUTE OF TECHNOLOGY","TOPEKA","KS","Public 4 Year","477","1797938"
"1069500","TRI-COUNTY BEAUTY ACADEMY","LITCHFIELD","IL","Proprietary 2 Year","15","61476"
"1070000","TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-","JACKSBORO","TN","Public 2 Year","189","688279"
"1071700","GREAT PLAINS TECHNOLOGY CENTER SCHOOL DI","LAWTON","OK","Public 2 Year","168","615754"
"1072400","CARLOS ALBIZU UNIVERSITY","SAN JUAN","PR","Private 4 Year","284","1121634"
"1072700","DEVRY UNIVERSITY","CHICAGO","IL","Proprietary 4 Year","41674","139119594"
"1073600","MARION TECHNICAL COLLEGE","MARION","OH","Public 2 Year","1184","4096416"
"1074100","MELLIE'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary 2 Year","105","372415"
"1076100","DALLAS INSTITUTE OF FUNERAL SERVICE","DALLAS","TX","Private 2 Year","113","365538"
"1076200","WESTERN OK AREA VOC TECH SCH DIST12","BURNS FLAT","OK","Public 2 Year","90","324289"
"393807","INTER-AMER UNIV PR-FAJARDO REGIONAL","FAJARDO","PR","Private 4 Year","2086","9068082"
"393808","INTER-AMER UNIV PR - GUAYAMA CAMPUS","GUAYAMA","PR","Private 4 Year","2057","9059041"
"1077100","GUPTON JONES COLLEGE","DECATUR","GA","Private 2 Year","149","561082"
"1077900","PORTER AND CHESTER INSTITUTE-ALLCAMPUSES","STRATFORD","CT","Proprietary 2 Year","3492","11585969"
"1081300","AMERICAN ACAD MCALLISTER INST","NEW YORK","NY","Private 2 Year","215","575913"
"1081400","PITTSBURGH INST MORTUARY SCIENCE","PITTSBURGH","PA","Private 2 Year","77","299809"
"2326300","MEDVANCE INSTITUTE","COOKEVILLE","TN","Proprietary 2 Year","865","3041469"
"1081900","CONSERVATORIO DE MUSICA DE PUERTO RICO","SAN JUAN","PR","Public 4 Year","279","1307026"
"953700","VIRGINIA SCH OF HAIR DESIGN","HAMPTON","VA","Proprietary 2 Year","116","412305"
"1082600","TOM P. HANEY TECHNICAL CENTER","PANAMA CITY","FL","Public 2 Year","371","1221103"
"1082700","DAVID PRESSLEY PROF SCH OF COSMTLGY","ROYAL OAK","MI","Proprietary 2 Year","196","717791"
"1083600","PIVOT POINT ACADEMY","CHICAGO","IL","Proprietary 2 Year","248","973835"
"1083700","SIMMONS INST OF FUNERAL SERVICE","SYRACUSE","NY","Proprietary 2 Year","10","32615"
"2306807","ARIZONA AUTOMOTIVE INSTITUTE","GLENDALE","AZ","Proprietary 4 Year","1198","4079960"
"1085800","AVALON SCHOOL OF COSMETOLOGY","MESA","AZ","Proprietary 2 Year","728","2653518"
"1086100","WEST VIRGINIA BUSINESS COLLEGE","NUTTER FORT","WV","Proprietary 2 Year","180","763132"
"1087900","RICHLAND COMMUNITY COLLEGE","DECATUR","IL","Public 2 Year","1644","4731915"
"1088000","CHATFIELD COLLEGE","SAINT MARTIN","OH","Private 2 Year","404","1480621"
"1090300","RIZZIERI INSTITUTE","VOORHEES","NJ","Proprietary 2 Year","119","390545"
"1090600","CINCINNATI CLG OF MORTUARY SCIENCE","CINCINNATI","OH","Private 4 Year","41","152490"
"1091300","MADISON MEDIA INSTITUTE","MADISON","WI","Proprietary 4 Year","480","1846687"
"905400","WEST VIRGINIA NORTHERN CMTY COLLEGE","WHEELING","WV","Public 2 Year","1359","4495273"
"1092200","UNIVERSITY OF PUERTO RICO - UTUADO","UTUADO","PR","Public 4 Year","1162","5669445"
"1092300","UNION INSTITUTE & UNIVERSITY","CINCINNATI","OH","Private 4 Year","682","1883237"
"1094300","RABBINICAL COLLEGE BETH SHRAGA","MONSEY","NY","Private 4 Year","10","35236"
"1097500","UNIVERSITY OF PUERTO RICO BAYAMON TECHNI","BAYAMON","PR","Public 4 Year","3101","14579868"
"1099700","EAST GEORGIA COLLEGE","SWAINSBORO","GA","Public 4 Year","2199","8925922"
"1099800","PENNSYLVANIA INSTITUTE OF TECH","MEDIA","PA","Private 2 Year","885","3226523"
"1100900","PALAU COMMUNITY COLLEGE","WESTERN CAROLINA ISLAND","PW","Public 2 Year","726","2625786"
"1102400","EVEREST COLLEGE","SAN FRANCISCO","CA","Proprietary 2 Year","226","749439"
"1103100","TECHNICAL CAREER INSTITUTE","NEW YORK","NY","Proprietary 2 Year","3984","15580278"
"1104600","CENTRAL OHIO TECHNICAL COLLEGE","NEWARK","OH","Public 2 Year","2742","8924700"
"1107400","BAINBRIDGE COLLEGE","BAINBRIDGE","GA","Public 2 Year","2578","9141814"
"2505900","SH-OR YOSHUV RABBINICAL COLLEGE","FAR ROCKAWAY","NY","Private 4 Year","47","217503"
"1109800","FLINT INSTITUTE OF BARBERING","FLINT","MI","Proprietary 2 Year","69","318610"
"1110700","EVEREST  COLLEGE","ANAHEIM","CA","Proprietary 2 Year","577","1937327"
"1110900","EVEREST COLLEGE","RESEDA","CA","Proprietary 2 Year","1869","6436556"
"1111200","FIDM-FASHION INSTITUTE OF DESIGN","LOS ANGELES","CA","Proprietary 4 Year","1622","6542019"
"1111300","MAHARISHI UNIV OF MANAGEMENT","FAIRFIELD","IA","Private 4 Year","256","1094770"
"1111700","ALLIANT INTERNATIONAL UNIVERSITY","SAN DIEGO","CA","Private 4 Year","134","553815"
"1112100","EVEREST COLLEGE","HAYWARD","CA","Proprietary 2 Year","150","545531"
"1112300","EVEREST COLLEGE","GARDENA","CA","Proprietary 2 Year","1177","4042903"
"1113300","EASTERN IDAHO TECHNICAL COLLEGE","IDAHO FALLS","ID","Public 2 Year","462","1520014"
"1088100","STARK STATE COLLEGE","NORTH CANTON","OH","Public 2 Year","10371","32571265"
"1114500","LONE STAR COLLEGE SYSTEM","HOUSTON","TX","Public 2 Year","27452","90296860"
"1115000","ASNUNTUCK COMMUNITY COLLEGE","ENFIELD","CT","Public 2 Year","741","2309075"
"1116100","TEXAS A&M UNIV CORPUS CHRISTI","CORPUS CHRISTI","TX","Public 4 Year","4011","16479740"
"1116300","UNIVERSITY OF TEXAS AT TYLER","TYLER","TX","Public 4 Year","2201","8652101"
"1116600","BROADVIEW UNIVERSITY","WEST JORDAN","UT","Proprietary 4 Year","784","2571026"
"1116700","COMMUNITY COLLEGE OF VERMONT","WATERBURY","VT","Public 2 Year","3514","9543472"
"2511000","SOUTHWESTERN INDIAN POLYTECH INST","ALBUQUERQUE","NM","Public 2 Year","416","1284762"
"1118900","UNITED TALMUDICAL SEMINARY","BROOKLYN","NY","Private 4 Year","1623","9045164"
"1119200","BETH HAMEDRASH SHAAREI YOSHER INST","BROOKLYN","NY","Private 4 Year","30","158855"
"1119400","STANLY COMMUNITY COLLEGE","ALBEMARLE","NC","Public 2 Year","1649","5269791"
"1119700","MAYLAND COMMUNITY COLLEGE","SPRUCE PINE","NC","Public 2 Year","642","2115179"
"1120300","RYDER MEMORIAL HOSP SCH OF NURSING","HUMACAO","PR","Private 2 Year","12","64446"
"1120600","PIONEER TECHNOLOGY CENTER","PONCA CITY","OK","Public 2 Year","107","408963"
"2506000","ASSOCIATED BETH RIVKAH SCHOOLS","BROOKLYN","NY","Private 2 Year","89","447466"
